Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,1622.00,1653.00,1620.00,1644.00,2934700,1644.00
2017-02-09,1624.00,1633.00,1605.00,1623.00,1188700,1623.00
2017-02-08,1628.00,1640.00,1615.00,1622.00,1859500,1622.00
2017-02-07,1645.00,1657.00,1627.00,1633.00,1264500,1633.00
2017-02-06,1624.00,1642.00,1607.00,1641.00,1423100,1641.00
2017-02-03,1624.00,1627.00,1615.00,1622.00,1115900,1622.00
2017-02-02,1621.00,1630.36,1616.00,1619.00,1290900,1619.00
2017-02-01,1626.00,1657.00,1616.00,1628.00,1691300,1628.00
2017-01-31,1601.00,1641.00,1595.00,1606.00,2895000,1606.00
2017-01-30,1636.00,1642.00,1600.00,1601.00,3546400,1601.00
2017-01-27,1657.00,1658.20,1616.00,1639.00,1639600,1639.00
2017-01-26,1655.00,1679.00,1643.00,1649.00,5315400,1649.00
2017-01-25,1576.00,1622.00,1574.00,1594.00,3221300,1594.00
2017-01-24,1573.00,1585.00,1561.00,1564.00,1545700,1564.00
2017-01-23,1560.00,1578.00,1546.00,1565.00,2815200,1565.00
2017-01-20,1571.00,1586.00,1558.00,1575.00,1357800,1575.00
2017-01-19,1591.00,1602.00,1563.00,1570.00,1754000,1570.00
2017-01-18,1591.00,1604.00,1582.00,1593.00,1671000,1588.25
2017-01-17,1623.00,1632.00,1589.00,1589.00,1539100,1584.262
2017-01-16,1608.00,1629.00,1596.00,1614.00,1014000,1609.187
2017-01-13,1595.00,1613.70,1589.00,1600.00,2054800,1595.229
2017-01-12,1616.00,1629.00,1594.00,1596.00,1883800,1591.241
2017-01-11,1595.00,1629.69,1594.00,1620.00,2003100,1615.17
2017-01-10,1582.00,1604.00,1579.00,1601.00,1137000,1596.226
2017-01-09,1590.00,1598.00,1573.00,1583.00,1622500,1578.28
2017-01-06,1601.00,1601.00,1582.00,1592.00,1039700,1587.253
2017-01-05,1583.00,1601.00,1582.00,1601.00,1334600,1596.226
2017-01-04,1600.00,1607.00,1583.00,1592.00,1059800,1587.253
2017-01-03,1589.00,1619.00,1585.63,1597.00,1868300,1592.238
2017-01-02,1580.00,1580.00,1580.00,1580.00,000,1575.289
2016-12-30,1580.00,1589.00,1569.00,1580.00,527900,1575.289
2016-12-29,1606.00,1606.00,1566.00,1572.00,1103900,1567.313
2016-12-28,1574.00,1612.00,1564.00,1609.00,966100,1604.202
2016-12-27,1567.00,1567.00,1567.00,1567.00,000,1562.328
2016-12-26,1567.00,1567.00,1567.00,1567.00,000,1562.328
2016-12-23,1589.00,1591.00,1567.00,1567.00,456300,1562.328
2016-12-22,1577.00,1589.00,1570.00,1581.00,881300,1576.286
2016-12-21,1561.00,1601.00,1561.00,1581.00,3197200,1576.286
2016-12-20,1534.00,1568.00,1526.00,1560.00,1875800,1555.348
2016-12-19,1610.00,1613.07,1534.00,1534.00,3289400,1529.426
2016-12-16,1622.00,1622.00,1603.00,1611.00,1911500,1606.196
2016-12-15,1615.00,1635.00,1600.00,1616.00,2647000,1611.181
2016-12-14,1620.00,1630.00,1606.00,1609.00,1832500,1604.202
2016-12-13,1644.00,1652.85,1591.00,1625.00,3002200,1620.155
2016-12-12,1633.00,1654.00,1632.00,1644.00,2570700,1639.098
2016-12-09,1605.00,1649.00,1603.00,1640.00,2242600,1635.11
2016-12-08,1619.00,1629.00,1598.00,1610.00,2774900,1605.199
2016-12-07,1563.00,1618.00,1561.00,1617.00,2523500,1612.178
2016-12-06,1577.00,1592.00,1522.00,1556.00,3103900,1551.36
2016-12-05,1528.00,1552.00,1528.00,1540.00,2144200,1535.408
2016-12-02,1540.00,1542.00,1526.00,1535.00,1933900,1530.423
2016-12-01,1555.00,1561.00,1533.00,1550.00,1712800,1545.378
2016-11-30,1511.00,1578.00,1511.00,1567.00,4445500,1562.328
2016-11-29,1491.00,1512.00,1477.00,1511.00,2515200,1506.495
2016-11-28,1500.00,1507.00,1474.00,1485.00,1831600,1480.572
2016-11-25,1500.00,1510.00,1484.00,1500.00,1466500,1495.527
2016-11-24,1464.00,1502.00,1464.00,1496.00,1970600,1491.539
2016-11-23,1460.00,1466.00,1439.00,1460.00,1804200,1455.647
2016-11-22,1438.00,1470.00,1429.00,1446.00,1860400,1441.688
2016-11-21,1417.00,1430.00,1408.00,1420.00,2283000,1415.766
2016-11-18,1418.00,1425.00,1399.00,1407.00,1882000,1402.805
2016-11-17,1416.00,1423.00,1398.52,1413.00,2041800,1408.787
2016-11-16,1433.00,1445.00,1410.50,1411.00,3069200,1406.793
2016-11-15,1438.00,1456.00,1421.00,1434.00,3336900,1429.724
2016-11-14,1402.00,1439.00,1399.68,1430.00,3015600,1425.736
