Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,232.70,235.20,231.90,234.00,17163100,234.00
2017-02-09,230.90,233.40,229.933,232.60,17011100,232.60
2017-02-08,228.80,231.25,227.35,230.00,16131900,230.00
2017-02-07,226.30,229.90,225.70,229.10,18003200,229.10
2017-02-06,227.50,227.50,225.30,225.80,12383000,225.80
2017-02-03,225.80,228.10,225.40,226.80,15376200,226.80
2017-02-02,223.90,226.80,222.90,225.50,15963600,225.50
2017-02-01,225.00,227.90,223.30,223.70,14570000,223.70
2017-01-31,226.00,227.50,223.70,224.30,21411900,224.30
2017-01-30,225.60,226.40,223.95,225.60,13957300,225.60
2017-01-27,227.60,227.70,225.50,227.00,9127800,227.00
2017-01-26,225.80,227.90,223.85,227.10,12661400,227.10
2017-01-25,227.20,228.10,224.20,226.00,21646000,226.00
2017-01-24,225.00,228.60,224.00,225.40,18515900,225.40
2017-01-23,227.40,227.702,225.50,227.10,20114000,227.10
2017-01-20,231.00,231.00,227.30,228.00,14295400,228.00
2017-01-19,228.80,231.10,227.80,229.80,14059000,229.80
2017-01-18,230.40,231.90,227.80,229.20,14398700,229.20
2017-01-17,230.60,231.30,228.646,229.10,13287400,229.10
2017-01-16,230.40,232.60,230.00,230.50,11564500,230.50
2017-01-13,227.40,231.10,226.50,230.20,21958700,230.20
2017-01-12,225.80,228.65,224.50,227.00,19119300,227.00
2017-01-11,226.00,226.90,223.108,225.50,16142700,225.50
2017-01-10,230.30,230.80,225.80,226.80,21677100,226.80
2017-01-09,233.40,234.70,230.20,230.40,14337200,230.40
2017-01-06,232.90,233.50,231.50,233.50,10314800,233.50
2017-01-05,232.10,234.60,231.70,233.30,12298600,233.30
2017-01-04,234.70,235.148,231.70,232.90,16451700,232.90
2017-01-03,235.50,236.90,233.20,235.50,16155200,235.50
2017-01-02,234.10,234.10,234.10,234.10,000,234.10
2016-12-30,232.80,235.02,230.40,234.10,7517000,234.10
2016-12-29,230.20,234.00,229.707,233.00,9540300,233.00
2016-12-28,232.30,232.30,230.10,231.50,7521900,231.50
2016-12-27,230.50,230.50,230.50,230.50,000,230.50
2016-12-26,230.50,230.50,230.50,230.50,000,230.50
2016-12-23,230.00,232.701,229.60,230.50,5844500,230.50
2016-12-22,229.00,230.60,227.70,229.70,12206700,229.70
2016-12-21,229.80,230.70,228.00,229.80,16205800,229.80
2016-12-20,230.50,232.30,228.00,230.80,18989200,230.80
2016-12-19,230.40,231.30,229.112,230.20,14180900,230.20
2016-12-16,228.50,232.90,228.50,230.10,28031800,230.10
2016-12-15,227.10,231.80,220.40,231.20,45904700,231.20
2016-12-14,217.00,219.90,216.20,218.90,21011200,218.90
2016-12-13,217.50,221.50,216.60,221.10,24224100,221.10
2016-12-12,217.00,219.688,215.00,217.30,13282000,217.30
2016-12-09,215.40,217.90,213.543,217.00,16231000,217.00
2016-12-08,214.40,218.00,212.50,215.00,23064200,215.00
2016-12-07,210.80,214.00,208.30,213.10,20462300,213.10
2016-12-06,207.10,211.90,206.10,209.70,35352300,209.70
2016-12-05,206.70,208.40,205.50,206.40,16205100,206.40
2016-12-02,208.40,209.40,206.10,208.20,12466000,208.20
2016-12-01,210.20,210.20,205.90,209.30,19332200,209.30
2016-11-30,210.40,213.766,209.50,210.30,38483000,210.30
2016-11-29,210.00,212.562,207.60,209.80,17592600,209.80
2016-11-28,203.30,211.40,203.30,209.40,23889100,209.40
2016-11-25,202.10,204.40,201.30,204.10,12332200,204.10
2016-11-24,203.00,203.80,201.564,202.20,12160400,202.20
2016-11-23,203.90,207.40,202.20,202.90,22609600,202.90
2016-11-22,196.70,202.827,196.70,202.50,20209400,202.50
2016-11-21,200.40,200.769,195.181,195.20,23888800,195.20
2016-11-18,202.40,202.40,197.30,199.60,20249200,199.60
2016-11-17,200.00,202.40,200.00,202.00,10686700,202.00
2016-11-16,202.00,203.60,198.936,199.30,17605200,199.30
2016-11-15,201.80,205.80,201.30,204.00,18276900,204.00
2016-11-14,205.30,206.00,199.30,200.30,19921500,200.30
