Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,953.50,961.50,947.00,947.50,3227900,893.70
2017-02-09,934.50,957.50,918.50,950.00,3809300,896.058
2017-02-08,925.50,941.50,922.00,933.50,2761700,880.495
2017-02-07,935.00,939.18,922.50,923.00,3403600,870.591
2017-02-06,940.00,944.00,926.563,932.50,2741300,879.552
2017-02-03,939.00,953.50,934.50,940.00,1971300,886.626
2017-02-02,940.00,945.21,931.50,935.00,2899800,881.91
2017-02-01,948.50,960.925,937.75,942.50,3983800,888.984
2017-01-31,963.50,970.00,950.00,950.00,3002400,896.058
2017-01-30,965.50,972.255,954.00,963.00,5318300,908.32
2017-01-27,983.50,988.00,966.51,974.00,5413700,918.695
2017-01-26,1005.00,1010.00,983.516,995.00,3311200,938.503
2017-01-25,982.50,1075.90,980.864,1008.00,6371100,950.765
2017-01-24,1018.00,1075.90,967.00,981.00,15180900,925.298
2017-01-23,1035.00,1079.00,1035.00,1076.00,4804000,1014.904
2017-01-20,1040.00,1054.00,1036.12,1044.00,3010000,984.721
2017-01-19,1052.00,1056.46,1032.00,1041.00,3002400,981.891
2017-01-18,1063.00,1071.00,1041.36,1051.00,2592200,991.323
2017-01-17,1026.00,1070.00,1020.00,1058.00,3906300,997.926
2017-01-16,1035.00,1040.72,1014.75,1023.00,3042000,964.913
2017-01-13,1037.00,1049.00,1032.36,1036.00,1863700,977.175
2017-01-12,1056.00,1068.00,1033.00,1036.00,1646100,977.175
2017-01-11,1060.00,1079.00,1051.00,1055.00,2378800,995.096
2017-01-10,1055.00,1083.00,1046.75,1079.00,2263100,1017.733
2017-01-09,1060.00,1070.11,1047.72,1052.00,1639300,992.266
2017-01-06,1052.00,1076.00,1048.00,1059.00,3310000,998.869
2017-01-05,1010.00,1055.00,1008.98,1055.00,2984400,995.096
2017-01-04,990.00,1014.22,985.82,1009.00,2319400,951.708
2017-01-03,1005.00,1016.00,985.905,989.50,2083700,933.315
2017-01-02,1005.00,1005.00,1005.00,1005.00,000,947.935
2016-12-30,998.50,1005.00,990.50,1005.00,892100,947.935
2016-12-29,1009.00,1018.00,997.39,1002.00,1152200,945.105
2016-12-28,1031.00,1035.00,1010.36,1014.00,1089300,956.424
2016-12-27,1035.00,1035.00,1035.00,1035.00,000,976.232
2016-12-26,1035.00,1035.00,1035.00,1035.00,000,976.232
2016-12-23,1025.00,1037.00,1021.00,1035.00,339100,976.232
2016-12-22,1027.00,1031.00,1017.00,1026.00,988400,967.743
2016-12-21,1026.00,1039.44,1025.00,1028.00,1404800,969.629
2016-12-20,1034.00,1046.00,1027.00,1028.00,1619700,969.629
2016-12-19,1043.00,1047.80,1022.00,1034.00,1936800,975.288
2016-12-16,1004.00,1047.00,998.50,1043.00,3795300,983.777
2016-12-15,985.00,1009.22,983.50,1007.00,2275900,949.822
2016-12-14,985.00,1010.00,979.50,980.50,2312600,924.826
2016-12-13,967.00,992.50,964.00,989.00,2153000,932.844
2016-12-12,995.00,995.00,968.50,970.00,2525400,914.922
2016-12-09,1005.00,1009.00,981.39,997.00,2014800,940.389
2016-12-08,1001.00,1008.01,970.00,1007.00,4719300,949.822
2016-12-07,988.50,998.50,974.50,993.50,2965300,937.088
2016-12-06,980.00,984.50,968.00,980.50,1630700,924.826
2016-12-05,968.00,988.00,960.00,974.50,1853500,919.167
2016-12-02,979.50,985.00,963.00,970.50,1872300,915.394
2016-12-01,992.00,1006.00,981.50,996.50,1937000,939.918
2016-11-30,1005.00,1008.08,979.01,990.00,7653800,933.787
2016-11-29,1003.00,1025.00,996.50,1011.00,2163500,953.594
2016-11-28,1015.00,1034.00,995.50,1005.00,2219700,947.935
2016-11-25,1019.00,1028.36,1013.00,1020.00,1697500,962.083
2016-11-24,1051.00,1055.28,1016.21,1022.00,1727000,963.97
2016-11-23,1069.00,1077.00,1042.00,1046.00,3608500,986.607
2016-11-22,1070.00,1084.00,1058.00,1065.00,2379800,1004.528
2016-11-21,1077.00,1078.00,1059.50,1067.00,2677400,1006.415
2016-11-18,1084.00,1093.00,1069.81,1071.00,2579100,1010.188
2016-11-17,1059.00,1084.00,1059.00,1082.00,2573900,1020.563
2016-11-16,1084.00,1110.00,1042.55,1060.00,3380000,999.812
2016-11-15,1053.00,1095.50,1021.00,1087.00,5470700,1025.279
2016-11-14,1064.00,1075.00,1027.36,1032.00,3470400,973.402
