Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,2773.00,2808.00,2758.00,2779.00,214700,2779.00
2017-02-09,2709.00,2774.00,2709.00,2773.00,247800,2773.00
2017-02-08,2716.00,2731.00,2699.00,2719.00,231200,2719.00
2017-02-07,2682.00,2727.00,2677.47,2723.00,295800,2723.00
2017-02-06,2647.00,2686.00,2647.00,2676.00,186200,2676.00
2017-02-03,2656.00,2671.00,2646.00,2657.00,369100,2657.00
2017-02-02,2634.00,2668.00,2617.85,2642.00,335700,2642.00
2017-02-01,2739.00,2746.00,2642.00,2642.00,492800,2642.00
2017-01-31,2685.00,2738.00,2684.73,2725.00,331600,2725.00
2017-01-30,2680.00,2699.00,2656.00,2688.00,314000,2688.00
2017-01-27,2680.00,2722.00,2677.00,2694.00,267500,2694.00
2017-01-26,2747.00,2754.00,2677.00,2678.00,585200,2678.00
2017-01-25,2772.00,2776.09,2733.00,2742.00,469000,2742.00
2017-01-24,2796.00,2800.00,2748.00,2759.00,216300,2759.00
2017-01-23,2769.00,2787.00,2746.00,2779.00,179300,2779.00
2017-01-20,2819.00,2821.00,2775.00,2782.00,275800,2782.00
2017-01-19,2851.00,2855.10,2811.00,2821.00,238300,2821.00
2017-01-18,2874.00,2874.00,2835.00,2851.00,211400,2851.00
2017-01-17,2881.00,2881.00,2793.00,2836.00,528400,2836.00
2017-01-16,2838.00,2881.28,2817.00,2866.00,292200,2866.00
2017-01-13,2848.00,2874.00,2838.00,2844.00,280700,2844.00
2017-01-12,2884.00,2892.00,2848.43,2849.00,223500,2849.00
2017-01-11,2869.00,2904.00,2869.00,2885.00,142600,2885.00
2017-01-10,2887.00,2903.00,2866.00,2887.00,223000,2887.00
2017-01-09,2873.00,2904.00,2859.00,2893.00,214300,2893.00
2017-01-06,2840.00,2878.00,2840.00,2874.00,182500,2874.00
2017-01-05,2877.00,2942.00,2846.00,2848.00,253300,2848.00
2017-01-04,2879.00,2902.00,2855.00,2896.00,284700,2896.00
2017-01-03,2857.00,2879.00,2790.00,2860.00,840600,2860.00
2017-01-02,2849.00,2849.00,2849.00,2849.00,000,2849.00
2016-12-30,2803.00,2849.00,2803.00,2849.00,208900,2849.00
2016-12-29,2771.00,2812.00,2766.00,2805.00,122500,2805.00
2016-12-28,2814.00,2814.00,2779.00,2783.00,139700,2783.00
2016-12-27,2815.00,2815.00,2815.00,2815.00,000,2815.00
2016-12-26,2815.00,2815.00,2815.00,2815.00,000,2815.00
2016-12-23,2799.00,2819.36,2789.00,2815.00,80400,2815.00
2016-12-22,2773.00,2796.00,2752.00,2785.00,206000,2785.00
2016-12-21,2760.00,2782.00,2758.00,2774.00,277000,2774.00
2016-12-20,2752.00,2773.00,2743.00,2758.00,192000,2758.00
2016-12-19,2770.00,2770.00,2730.00,2750.00,148700,2750.00
2016-12-16,2734.00,2773.00,2728.00,2750.00,579800,2750.00
2016-12-15,2716.00,2746.00,2703.00,2740.00,246400,2740.00
2016-12-14,2659.00,2720.00,2652.00,2714.00,460300,2714.00
2016-12-13,2668.00,2680.00,2633.00,2671.00,640900,2671.00
2016-12-12,2715.00,2726.00,2661.00,2661.00,517600,2661.00
2016-12-09,2830.00,2851.00,2710.00,2726.00,405800,2726.00
2016-12-08,2840.00,2848.00,2818.00,2829.00,276700,2829.00
2016-12-07,2848.00,2874.00,2826.00,2831.00,386700,2831.00
2016-12-06,2859.00,2859.00,2787.00,2838.00,275800,2838.00
2016-12-05,2839.00,2878.00,2830.00,2851.00,263900,2851.00
2016-12-02,2872.00,2873.00,2827.00,2853.00,190400,2853.00
2016-12-01,2905.00,2924.00,2847.00,2877.00,318400,2877.00
2016-11-30,2963.00,2974.00,2893.00,2915.00,342400,2915.00
2016-11-29,2969.00,2974.00,2946.00,2965.00,196800,2965.00
2016-11-28,2984.00,2988.00,2922.00,2954.00,167700,2954.00
2016-11-25,2983.00,3004.00,2956.00,2977.00,174500,2977.00
2016-11-24,2987.00,3010.00,2970.00,2998.00,187500,2998.00
2016-11-23,2958.00,2997.00,2943.00,2990.00,325900,2990.00
2016-11-22,2926.00,2961.00,2905.00,2934.00,146800,2934.00
2016-11-21,2952.00,2953.00,2881.00,2896.00,425900,2896.00
2016-11-18,2931.00,2949.00,2892.00,2946.00,288400,2946.00
2016-11-17,2847.00,2929.00,2831.00,2929.00,301700,2929.00
2016-11-16,2842.00,2891.00,2821.00,2850.00,334600,2850.00
2016-11-15,2844.00,2861.00,2819.00,2833.00,164400,2833.00
2016-11-14,2803.00,2848.00,2798.00,2817.00,256200,2817.00
