Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,8625.00,8755.00,8625.00,8700.00,89600,8700.00
2017-02-09,8640.00,8680.71,8600.00,8680.00,332800,8680.00
2017-02-08,8440.00,8709.45,8440.00,8650.00,181000,8650.00
2017-02-07,8580.00,8605.00,8500.00,8515.00,55300,8515.00
2017-02-06,8495.00,8590.52,8492.00,8560.00,53200,8560.00
2017-02-03,8570.00,8570.00,8490.00,8535.00,157300,8535.00
2017-02-02,8295.00,8555.00,8295.00,8535.00,164000,8535.00
2017-02-01,8375.00,8431.08,8310.00,8330.00,117800,8330.00
2017-01-31,8280.00,8350.00,8195.99,8345.00,497600,8345.00
2017-01-30,8125.00,8245.00,8090.00,8245.00,344100,8245.00
2017-01-27,8040.00,8130.00,7965.00,8105.00,149100,8105.00
2017-01-26,7940.00,8019.22,7874.81,8015.00,145300,8015.00
2017-01-25,7900.00,8302.40,7805.00,7935.00,132300,7935.00
2017-01-24,8365.00,8435.79,7935.00,7940.00,242400,7940.00
2017-01-23,8715.00,8727.40,8280.00,8295.00,315100,8295.00
2017-01-20,8600.00,8695.00,8455.00,8675.00,209600,8675.00
2017-01-19,8570.00,8680.00,8445.00,8590.00,108100,8590.00
2017-01-18,8470.00,8615.00,8470.00,8600.00,52100,8600.00
2017-01-17,8590.00,8639.91,8475.00,8510.00,53100,8510.00
2017-01-16,8650.00,8697.49,8551.71,8640.00,37800,8640.00
2017-01-13,8695.00,8810.00,8620.00,8645.00,106100,8645.00
2017-01-12,8745.00,8785.00,8643.60,8740.00,55600,8740.00
2017-01-11,8755.00,8785.00,8693.99,8700.00,62100,8700.00
2017-01-10,8825.00,8935.00,8740.00,8770.00,141800,8770.00
2017-01-09,8775.00,8870.00,8715.00,8865.00,103300,8865.00
2017-01-06,8800.00,8891.57,8785.00,8815.00,76000,8815.00
2017-01-05,8710.00,8885.00,8710.00,8885.00,49900,8885.00
2017-01-04,8810.00,8810.00,8715.00,8770.00,160000,8770.00
2017-01-03,8670.00,8864.17,8670.00,8775.00,82300,8775.00
2017-01-02,8775.00,8775.00,8775.00,8775.00,000,8775.00
2016-12-30,8755.00,8775.00,8630.00,8775.00,47700,8775.00
2016-12-29,8740.00,8765.00,8669.64,8720.00,29800,8720.00
2016-12-28,8765.00,8800.14,8695.00,8790.00,28000,8790.00
2016-12-27,8700.00,8700.00,8700.00,8700.00,000,8700.00
2016-12-26,8700.00,8700.00,8700.00,8700.00,000,8700.00
2016-12-23,8720.00,8765.00,8685.00,8700.00,50100,8700.00
2016-12-22,8515.00,8735.00,8483.40,8735.00,60300,8735.00
2016-12-21,8590.00,8615.00,8450.00,8515.00,63100,8515.00
2016-12-20,8625.00,8640.00,8545.00,8600.00,84700,8600.00
2016-12-19,8640.00,8645.00,8535.00,8615.00,134000,8615.00
2016-12-16,8500.00,8625.00,8425.00,8615.00,180000,8615.00
2016-12-15,8420.00,8525.00,8375.00,8480.00,378800,8480.00
2016-12-14,8430.00,8600.00,8355.00,8355.00,108000,8355.00
2016-12-13,8330.00,8550.00,8330.00,8475.00,96000,8475.00
2016-12-12,8460.00,8460.00,8295.00,8360.00,192300,8360.00
2016-12-09,8290.00,8375.43,8225.00,8280.00,71400,8280.00
2016-12-08,8220.00,8292.66,8115.00,8180.00,174700,8180.00
2016-12-07,8165.00,8240.00,8104.50,8230.00,251600,8230.00
2016-12-06,8385.00,8411.00,8135.00,8135.00,201000,8135.00
2016-12-05,8320.00,8425.00,8255.00,8350.00,74300,8350.00
2016-12-02,8285.00,8363.12,8265.00,8305.00,58700,8305.00
2016-12-01,8345.00,8460.00,8290.00,8365.00,119900,8365.00
2016-11-30,8560.00,8585.00,8361.94,8370.00,104100,8370.00
2016-11-29,8480.00,8599.39,8405.00,8530.00,81000,8530.00
2016-11-28,8650.00,8670.00,8405.00,8440.00,55200,8440.00
2016-11-25,8705.00,8754.08,8562.38,8605.00,97700,8605.00
2016-11-24,8680.00,8766.13,8635.00,8720.00,43200,8720.00
2016-11-23,8620.00,8725.00,8593.91,8640.00,114500,8640.00
2016-11-22,8705.00,8725.00,8577.77,8615.00,98800,8615.00
2016-11-21,8765.00,8820.00,8575.00,8610.00,110900,8610.00
2016-11-18,8600.00,8860.00,8600.00,8775.00,173300,8775.00
2016-11-17,8610.00,8671.41,8575.00,8610.00,75200,8610.00
2016-11-16,8720.00,8720.00,8570.00,8635.00,110400,8635.00
2016-11-15,8815.00,8875.00,8617.57,8660.00,112100,8660.00
2016-11-14,8875.00,8900.00,8630.00,8830.00,210100,8830.00
