Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,1608.00,1620.99,1602.00,1620.50,4790600,1620.50
2017-02-09,1575.00,1602.50,1572.00,1600.50,7956100,1600.50
2017-02-08,1585.00,1592.00,1557.00,1567.50,4930100,1567.50
2017-02-07,1581.50,1599.00,1580.00,1584.00,4800800,1584.00
2017-02-06,1600.00,1603.50,1574.50,1583.50,4909100,1583.50
2017-02-03,1553.50,1606.00,1544.00,1600.50,6523000,1600.50
2017-02-02,1550.50,1560.50,1543.50,1552.50,4334200,1552.50
2017-02-01,1549.50,1561.13,1540.00,1557.50,4261900,1557.50
2017-01-31,1546.50,1564.00,1531.00,1532.00,5048100,1532.00
2017-01-30,1564.50,1567.50,1546.00,1550.00,2960400,1550.00
2017-01-27,1586.00,1593.15,1563.50,1577.00,3641300,1577.00
2017-01-26,1583.50,1598.50,1578.18,1586.50,5408900,1586.50
2017-01-25,1567.50,1586.50,1567.50,1578.50,4867800,1578.50
2017-01-24,1548.50,1565.00,1544.00,1555.00,5200200,1555.00
2017-01-23,1536.50,1547.50,1524.00,1538.00,3610000,1538.00
2017-01-20,1555.50,1560.50,1541.50,1548.50,4295400,1548.50
2017-01-19,1561.50,1566.50,1543.00,1552.00,4733700,1552.00
2017-01-18,1579.50,1579.50,1548.66,1553.00,4126600,1553.00
2017-01-17,1572.00,1588.00,1562.00,1569.50,3738200,1569.50
2017-01-16,1607.00,1613.86,1576.00,1578.00,4608900,1578.00
2017-01-13,1598.50,1620.50,1584.21,1612.50,3863800,1612.50
2017-01-12,1596.00,1599.00,1580.50,1590.00,3264700,1590.00
2017-01-11,1577.50,1597.50,1569.00,1590.50,4718200,1590.50
2017-01-10,1594.50,1599.00,1564.12,1580.00,5224400,1580.00
2017-01-09,1617.50,1622.50,1596.00,1600.00,4005300,1600.00
2017-01-06,1600.50,1612.50,1596.00,1612.50,3184800,1612.50
2017-01-05,1641.50,1641.50,1592.50,1601.00,4153200,1601.00
2017-01-04,1637.00,1642.00,1628.50,1642.00,3473500,1642.00
2017-01-03,1637.00,1645.00,1625.19,1638.00,5421600,1638.00
2017-01-02,1627.50,1627.50,1627.50,1627.50,000,1627.50
2016-12-30,1618.00,1627.50,1609.00,1627.50,2508900,1627.50
2016-12-29,1599.00,1616.00,1595.94,1615.00,2136200,1615.00
2016-12-28,1600.50,1612.00,1591.50,1610.50,2416000,1610.50
2016-12-27,1605.00,1605.00,1605.00,1605.00,000,1605.00
2016-12-26,1605.00,1605.00,1605.00,1605.00,000,1605.00
2016-12-23,1603.00,1611.00,1595.00,1605.00,1262700,1605.00
2016-12-22,1593.00,1607.00,1587.00,1604.00,2933000,1604.00
2016-12-21,1585.00,1599.50,1581.50,1593.00,3678200,1593.00
2016-12-20,1554.50,1597.00,1552.67,1592.50,3784100,1592.50
2016-12-19,1585.00,1585.00,1554.50,1560.00,4448800,1560.00
2016-12-16,1592.50,1596.00,1575.00,1583.00,7352100,1583.00
2016-12-15,1569.00,1596.00,1558.50,1586.00,6832000,1586.00
2016-12-14,1571.00,1586.50,1561.50,1568.50,6372700,1568.50
2016-12-13,1568.50,1579.00,1557.00,1575.00,4376800,1575.00
2016-12-12,1594.00,1598.00,1554.00,1564.50,5741400,1564.50
2016-12-09,1624.00,1628.76,1577.00,1594.00,7118600,1594.00
2016-12-08,1645.00,1649.00,1598.39,1627.50,6673600,1627.50
2016-12-07,1596.00,1649.00,1568.13,1649.00,6145600,1649.00
2016-12-06,1580.00,1591.20,1561.50,1584.50,7919400,1584.50
2016-12-05,1545.00,1600.00,1545.00,1584.00,4541200,1584.00
2016-12-02,1564.00,1586.18,1554.00,1561.00,6813400,1561.00
2016-12-01,1539.00,1578.00,1539.00,1578.00,8425300,1578.00
2016-11-30,1543.50,1560.00,1538.00,1548.50,6130600,1548.50
2016-11-29,1539.50,1552.00,1532.50,1546.50,5788900,1546.50
2016-11-28,1540.50,1550.50,1530.00,1543.00,5848000,1543.00
2016-11-25,1555.50,1560.00,1544.00,1550.00,2799900,1550.00
2016-11-24,1540.00,1561.00,1539.50,1559.50,3446000,1559.50
2016-11-23,1540.50,1556.00,1532.50,1541.00,4817100,1541.00
2016-11-22,1526.00,1544.00,1519.98,1542.00,6354100,1542.00
2016-11-21,1525.50,1534.00,1505.50,1512.50,5096000,1512.50
2016-11-18,1529.50,1555.00,1500.48,1515.00,9673100,1515.00
2016-11-17,1509.00,1529.00,1496.00,1520.00,6343900,1520.00
2016-11-16,1532.00,1561.50,1518.50,1520.50,7901200,1520.50
2016-11-15,1510.50,1535.50,1488.00,1523.00,8710500,1523.00
2016-11-14,1490.00,1530.00,1489.50,1510.00,7265600,1510.00
