Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,5025.00,5078.00,4990.65,5008.00,3331500,5008.00
2017-02-09,5019.00,5038.00,4951.43,5021.00,4186600,5021.00
2017-02-08,4981.50,5035.00,4952.50,5025.00,3486600,5025.00
2017-02-07,4985.00,5011.00,4977.50,4981.50,3312400,4981.50
2017-02-06,4963.00,5008.00,4955.00,4985.00,3050300,4985.00
2017-02-03,4903.50,4970.50,4894.00,4963.00,3649400,4963.00
2017-02-02,4844.00,4962.52,4830.00,4910.00,3876200,4910.00
2017-02-01,4888.00,4907.50,4856.00,4865.50,3146500,4865.50
2017-01-31,4883.50,4902.50,4723.68,4899.50,4240100,4899.50
2017-01-30,4899.00,4931.12,4865.00,4896.50,2689100,4896.50
2017-01-27,4910.50,4949.14,4896.67,4920.50,3713700,4920.50
2017-01-26,4888.50,4937.00,4853.83,4929.50,4359600,4929.50
2017-01-25,4811.50,4894.00,4795.00,4894.00,4918200,4894.00
2017-01-24,4778.00,4811.50,4755.00,4800.00,4466600,4800.00
2017-01-23,4718.50,4800.55,4711.00,4767.00,4981400,4767.00
2017-01-20,4750.00,4810.36,4703.68,4760.00,5256200,4760.00
2017-01-19,4680.00,4736.50,4593.75,4734.00,7788800,4734.00
2017-01-18,4620.00,4697.50,4615.00,4634.00,8092000,4634.00
2017-01-17,4810.00,4820.00,4569.00,4580.00,10020800,4580.00
2017-01-16,4735.50,4763.45,4721.50,4762.50,1640600,4762.50
2017-01-13,4727.50,4741.50,4704.00,4729.50,2114800,4729.50
2017-01-12,4680.00,4728.00,4676.00,4705.00,2918800,4705.00
2017-01-11,4650.50,4731.00,4650.50,4713.00,2734800,4713.00
2017-01-10,4673.50,4687.00,4603.90,4672.00,2167300,4672.00
2017-01-09,4591.00,4681.50,4586.00,4675.00,2505200,4675.00
2017-01-06,4558.00,4600.00,4557.50,4574.00,2324800,4574.00
2017-01-05,4582.00,4852.75,4566.50,4580.00,2682400,4580.00
2017-01-04,4576.00,4625.52,4574.50,4591.50,2000400,4591.50
2017-01-03,4628.00,4657.00,4603.00,4612.00,2356700,4612.00
2017-01-02,4621.50,4621.50,4621.50,4621.50,000,4621.50
2016-12-30,4610.50,4628.00,4583.50,4621.50,1543000,4621.50
2016-12-29,4565.00,4596.50,4555.59,4596.50,1609200,4596.50
2016-12-28,4587.00,4592.00,4534.00,4567.00,3118100,4567.00
2016-12-27,4558.00,4558.00,4558.00,4558.00,000,4558.00
2016-12-26,4558.00,4558.00,4558.00,4558.00,000,4558.00
2016-12-23,4555.50,4567.00,4536.00,4558.00,538900,4558.00
2016-12-22,4544.50,4569.00,4524.50,4546.50,1866200,4546.50
2016-12-21,4537.00,4572.50,4535.00,4560.50,1698500,4560.50
2016-12-20,4542.50,4578.50,4518.50,4556.00,2869600,4556.00
2016-12-19,4512.50,4560.50,4491.00,4551.50,2413100,4551.50
2016-12-16,4520.00,4555.00,4470.50,4506.50,4521400,4506.50
2016-12-15,4461.50,4529.50,4425.50,4513.00,3931300,4513.00
2016-12-14,4433.00,4498.00,4410.00,4468.50,4134600,4468.50
2016-12-13,4380.50,4464.00,4352.50,4452.50,3509700,4452.50
2016-12-12,4411.50,4423.50,4345.50,4366.00,2848300,4366.00
2016-12-09,4391.00,4431.00,4361.37,4420.00,2763200,4420.00
2016-12-08,4364.50,4373.00,4325.50,4373.00,2612800,4373.00
2016-12-07,4328.50,4353.50,4314.00,4352.50,2546500,4352.50
2016-12-06,4337.50,4356.00,4301.00,4320.00,2907400,4320.00
2016-12-05,4314.00,4385.50,4313.50,4343.00,3688300,4343.00
2016-12-02,4303.00,4351.50,4278.71,4347.00,2763300,4347.00
2016-12-01,4393.50,4393.50,4251.39,4309.50,5758900,4309.50
2016-11-30,4449.00,4534.00,4392.18,4393.50,6435000,4393.50
2016-11-29,4440.00,4479.00,4417.50,4454.50,3231500,4454.50
2016-11-28,4409.50,4487.00,4401.50,4448.50,3939600,4448.50
2016-11-25,4365.50,4437.50,4364.00,4421.00,2950100,4421.00
2016-11-24,4362.00,4376.50,4346.00,4372.00,1845800,4372.00
2016-11-23,4367.50,4437.00,4340.50,4368.50,2592800,4368.50
2016-11-22,4341.00,4376.00,4330.00,4368.00,3462400,4368.00
2016-11-21,4340.50,4415.33,4311.50,4357.50,5045500,4357.50
2016-11-18,4306.00,4383.65,4290.50,4359.50,5507200,4359.50
2016-11-17,4291.50,4324.00,4274.50,4311.00,2464500,4311.00
2016-11-16,4297.50,4310.00,4251.00,4278.00,3157600,4278.00
2016-11-15,4265.50,4337.50,4251.00,4300.50,4721300,4300.50
2016-11-14,4326.00,4350.18,4239.00,4281.00,6741500,4281.00
