Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,197.70,198.75,196.55,198.00,25089200,198.00
2017-02-09,198.00,198.30,194.41,197.90,26983400,197.90
2017-02-08,193.45,198.50,192.75,197.60,35242700,197.60
2017-02-07,192.60,196.80,192.50,193.65,38688300,193.65
2017-02-06,197.05,197.547,192.80,193.05,20879200,193.05
2017-02-03,196.90,199.35,196.60,197.30,23443000,197.30
2017-02-02,194.95,198.10,191.35,196.85,43573600,196.85
2017-02-01,196.30,196.953,193.45,195.25,41848100,195.25
2017-01-31,197.90,206.34,194.162,194.60,67518200,194.60
2017-01-30,205.00,209.656,196.35,197.80,81222000,197.80
2017-01-27,204.00,211.30,188.862,206.55,171110300,206.55
2017-01-26,188.30,190.40,186.85,189.00,30980800,189.00
2017-01-25,192.65,192.85,188.00,188.45,48420000,188.45
2017-01-24,195.00,195.40,191.10,192.15,27713800,192.15
2017-01-23,197.30,197.70,194.75,195.00,27337500,195.00
2017-01-20,199.00,200.60,197.35,198.30,40694700,198.30
2017-01-19,202.60,204.55,201.65,202.60,23538400,202.60
2017-01-18,201.50,202.90,197.75,201.65,26763900,201.65
2017-01-17,202.35,203.30,199.95,202.00,31284700,202.00
2017-01-16,206.05,206.35,177.602,203.30,23175800,203.30
2017-01-13,206.75,207.90,204.45,206.00,21822200,206.00
2017-01-12,206.00,206.80,200.154,206.05,31651800,206.05
2017-01-11,215.00,215.162,208.50,208.80,43752200,208.80
2017-01-10,205.00,215.00,204.20,213.00,47694700,213.00
2017-01-09,200.00,201.95,198.95,200.95,19429000,200.95
2017-01-06,197.55,199.75,195.815,199.50,35214500,199.50
2017-01-05,205.80,206.40,198.80,199.05,27175200,199.05
2017-01-04,203.75,205.55,202.05,205.50,23108200,205.50
2017-01-03,208.10,209.10,203.80,206.15,23673600,206.15
2017-01-02,206.85,206.85,206.85,206.85,000,206.85
2016-12-30,205.40,207.40,203.05,206.85,8079900,206.85
2016-12-29,203.35,206.65,203.15,206.40,8504500,206.40
2016-12-28,203.70,204.87,202.10,204.40,11527800,204.40
2016-12-27,205.85,205.85,205.85,205.85,000,205.85
2016-12-26,205.85,205.85,205.85,205.85,000,205.85
2016-12-23,204.00,206.199,203.05,205.85,5327100,205.85
2016-12-22,203.60,204.25,200.877,203.70,13132800,203.70
2016-12-21,204.60,205.20,203.605,204.25,22317000,204.25
2016-12-20,203.00,204.75,202.00,204.65,26401600,204.65
2016-12-19,200.60,203.15,199.75,202.30,23693000,202.30
2016-12-16,205.95,206.05,200.10,200.40,32840700,200.40
2016-12-15,205.55,206.40,202.20,204.90,24815100,204.90
2016-12-14,204.95,208.608,204.55,205.75,25789700,205.75
2016-12-13,212.35,214.50,204.25,204.85,37966000,204.85
2016-12-12,217.75,218.60,212.05,212.85,22515600,212.85
2016-12-09,216.55,219.40,210.873,218.10,15022400,218.10
2016-12-08,213.00,217.80,210.25,216.95,24010600,216.95
2016-12-07,211.95,215.086,210.05,213.30,23548400,213.30
2016-12-06,211.10,212.098,209.05,210.55,17429200,210.55
2016-12-05,205.95,213.18,205.95,212.40,18779400,212.40
2016-12-02,204.20,207.10,203.633,206.75,14440300,206.75
2016-12-01,207.30,208.25,203.50,205.55,23198600,205.55
2016-11-30,208.25,212.65,207.30,208.70,37948500,208.70
2016-11-29,209.10,213.323,206.573,208.85,17975100,208.85
2016-11-28,212.80,212.80,207.55,209.60,13650500,209.60
2016-11-25,211.45,213.15,209.10,212.20,10705000,212.20
2016-11-24,214.00,215.30,210.205,211.50,17880500,211.50
2016-11-23,218.25,219.00,212.35,213.40,26711200,213.40
2016-11-22,213.80,218.70,213.30,218.70,28847400,218.70
2016-11-21,212.40,214.70,209.70,213.30,11318800,213.30
2016-11-18,214.50,215.75,211.65,212.50,18211900,212.50
2016-11-17,212.70,215.65,212.00,214.00,21359300,214.00
2016-11-16,216.35,218.00,212.35,213.15,32345100,213.15
2016-11-15,206.70,217.60,203.603,217.00,43224300,217.00
2016-11-14,202.60,208.25,198.97,205.85,33722900,205.85
