Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,275.50,276.10,271.80,272.00,12724600,272.00
2017-02-09,281.20,282.20,273.945,274.00,22249200,274.00
2017-02-08,280.10,284.60,279.40,281.30,13533200,281.30
2017-02-07,279.00,281.70,278.458,280.80,8668600,280.80
2017-02-06,281.20,282.50,278.00,278.90,6735800,278.90
2017-02-03,280.60,283.20,278.20,282.60,18160700,282.60
2017-02-02,280.00,283.316,272.50,280.10,99530300,280.10
2017-02-01,288.10,290.50,286.80,287.70,4709000,287.70
2017-01-31,285.90,287.50,284.40,285.90,4126000,285.90
2017-01-30,283.00,285.20,280.70,284.80,7045000,284.80
2017-01-27,282.30,284.20,279.80,282.00,3019900,282.00
2017-01-26,282.70,285.30,280.70,280.80,6286200,280.80
2017-01-25,286.80,287.70,282.70,283.30,4900400,283.30
2017-01-24,286.50,286.50,282.70,284.70,3787900,284.70
2017-01-23,285.40,286.00,282.90,284.50,2746300,284.50
2017-01-20,287.90,287.90,284.50,285.70,3239300,285.70
2017-01-19,284.70,287.40,283.90,287.40,2918500,287.40
2017-01-18,283.90,285.00,282.964,285.00,2985600,285.00
2017-01-17,288.80,288.804,283.80,283.80,3629900,283.80
2017-01-16,290.60,292.50,288.60,289.00,2647600,289.00
2017-01-13,290.00,292.60,288.80,292.60,4000900,292.60
2017-01-12,292.10,292.10,287.70,288.30,4420200,288.30
2017-01-11,288.90,291.00,285.00,291.00,9210900,291.00
2017-01-10,284.90,288.40,284.10,284.20,7312900,284.20
2017-01-09,283.30,285.90,281.00,285.90,5814800,285.90
2017-01-06,278.40,286.70,278.40,281.10,6329700,281.10
2017-01-05,271.50,278.50,271.50,278.10,3588000,278.10
2017-01-04,271.50,272.60,270.60,271.70,3584000,271.70
2017-01-03,271.30,275.30,270.20,271.00,2882800,271.00
2017-01-02,269.90,269.90,269.90,269.90,000,269.90
2016-12-30,266.10,269.90,266.10,269.90,2053200,269.90
2016-12-29,266.90,268.013,265.90,267.50,2391400,267.50
2016-12-28,268.30,269.50,266.60,267.30,2884700,267.30
2016-12-27,267.70,267.70,267.70,267.70,000,267.70
2016-12-26,267.70,267.70,267.70,267.70,000,267.70
2016-12-23,268.20,269.20,266.60,267.70,1306300,267.70
2016-12-22,263.00,268.30,263.00,266.80,4316700,266.80
2016-12-21,267.40,267.75,263.30,263.90,3911500,263.90
2016-12-20,267.60,267.80,265.80,266.60,4573300,266.60
2016-12-19,268.70,269.60,265.50,266.70,3075800,266.70
2016-12-16,269.90,271.30,265.60,268.20,6060900,268.20
2016-12-15,264.40,271.20,264.296,269.30,4759700,269.30
2016-12-14,265.70,266.60,260.021,263.80,5081300,263.80
2016-12-13,260.90,268.00,256.90,267.20,6694100,267.20
2016-12-12,266.00,266.20,259.40,260.00,5755000,260.00
2016-12-09,259.50,266.80,258.10,265.80,4926500,265.80
2016-12-08,257.90,263.163,257.00,258.90,5523700,258.90
2016-12-07,259.10,260.133,255.70,256.60,6297000,256.60
2016-12-06,258.20,259.70,256.30,258.80,3251800,258.80
2016-12-05,260.30,263.10,259.00,259.20,4229700,259.20
2016-12-02,261.20,262.10,258.00,259.80,5124800,259.80
2016-12-01,267.10,268.90,261.50,263.10,5536300,263.10
2016-11-30,272.00,274.40,267.80,269.20,8818100,269.20
2016-11-29,270.00,271.80,268.20,271.50,4596900,271.50
2016-11-28,267.60,270.50,266.40,269.60,4596500,269.60
2016-11-25,268.60,270.20,266.70,269.10,2143000,269.10
2016-11-24,268.50,269.80,266.90,269.40,2015500,269.40
2016-11-23,273.10,273.743,266.60,267.70,3567900,267.70
2016-11-22,275.10,276.20,271.50,272.30,5679700,272.30
2016-11-21,275.30,276.20,272.80,273.90,4192100,273.90
2016-11-18,271.70,277.428,270.50,275.70,7843700,275.70
2016-11-17,264.80,271.40,264.30,271.10,5366300,271.10
2016-11-16,266.60,267.80,264.20,265.30,4912100,265.30
2016-11-15,268.10,269.40,262.90,264.50,6429500,264.50
2016-11-14,270.70,271.90,265.60,266.40,5404000,266.40
