Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,843.00,874.50,840.50,866.00,4898200,866.00
2017-02-09,840.50,842.924,807.00,827.50,3122700,827.50
2017-02-08,855.00,864.50,819.00,836.50,3897000,836.50
2017-02-07,818.00,841.00,815.00,836.00,2989000,836.00
2017-02-06,813.50,824.50,811.50,817.50,2511100,817.50
2017-02-03,821.00,821.00,808.50,813.00,3171000,813.00
2017-02-02,836.00,844.00,826.00,840.50,3277200,840.50
2017-02-01,842.00,853.50,834.50,835.50,2674600,835.50
2017-01-31,818.50,843.00,818.50,835.00,4169900,835.00
2017-01-30,815.50,835.50,811.50,814.00,3730900,814.00
2017-01-27,817.50,849.677,804.50,822.50,4938100,822.50
2017-01-26,866.00,870.00,833.50,837.00,5805300,837.00
2017-01-25,871.50,884.50,834.00,857.50,6883900,857.50
2017-01-24,804.00,826.50,798.50,824.00,3682900,824.00
2017-01-23,799.00,802.00,782.00,789.50,5986700,789.50
2017-01-20,745.50,763.00,742.50,762.00,3338600,762.00
2017-01-19,747.00,765.00,743.00,752.50,5181100,752.50
2017-01-18,719.00,748.50,714.50,747.00,3774100,747.00
2017-01-17,722.50,723.00,711.542,721.00,3407400,721.00
2017-01-16,732.00,741.50,721.867,733.50,2523000,733.50
2017-01-13,722.00,731.00,712.00,725.00,2632400,725.00
2017-01-12,720.50,738.00,720.50,721.50,3625300,721.50
2017-01-11,727.00,734.00,716.50,721.00,3196400,721.00
2017-01-10,715.50,729.50,713.00,723.00,5605500,723.00
2017-01-09,699.50,706.00,697.572,704.00,3021600,704.00
2017-01-06,696.00,704.00,691.50,694.00,2277400,694.00
2017-01-05,699.00,704.00,691.50,699.50,1967000,699.50
2017-01-04,694.00,697.00,680.50,691.50,2421400,691.50
2017-01-03,681.00,696.50,678.00,690.00,3108100,690.00
2017-01-02,675.00,675.00,675.00,675.00,000,675.00
2016-12-30,674.00,683.50,672.50,675.00,965000,675.00
2016-12-29,683.00,686.50,674.50,676.50,1831100,676.50
2016-12-28,675.50,692.00,672.445,685.50,2585400,685.50
2016-12-27,675.50,675.50,675.50,675.50,000,675.50
2016-12-26,675.50,675.50,675.50,675.50,000,675.50
2016-12-23,669.50,676.50,665.00,675.50,595800,675.50
2016-12-22,670.50,686.50,658.50,672.00,2301200,672.00
2016-12-21,670.00,678.50,665.00,674.50,2016900,674.50
2016-12-20,660.00,668.00,648.00,667.00,2537600,667.00
2016-12-19,669.00,669.50,654.00,661.50,3441300,661.50
2016-12-16,680.50,680.50,665.00,670.00,5251800,670.00
2016-12-15,715.50,720.908,680.00,683.50,6929300,683.50
2016-12-14,729.50,734.50,708.25,721.00,4298600,721.00
2016-12-13,770.50,777.50,727.50,738.50,4113100,738.50
2016-12-12,758.50,779.50,754.00,774.50,4063200,774.50
2016-12-09,754.00,763.50,744.00,756.50,3863100,756.50
2016-12-08,745.00,769.00,724.00,752.00,3906100,752.00
2016-12-07,745.50,767.00,736.50,740.50,5588700,740.50
2016-12-06,726.00,732.50,714.50,727.50,3822100,727.50
2016-12-05,697.00,730.00,697.00,727.50,3301300,727.50
2016-12-02,699.00,700.00,675.871,693.50,3870600,693.50
2016-12-01,690.50,706.50,669.50,705.50,4477600,705.50
2016-11-30,700.00,710.50,686.50,689.00,4916800,689.00
2016-11-29,709.50,711.00,688.00,700.00,3361900,700.00
2016-11-28,736.00,738.50,714.00,728.50,3284800,728.50
2016-11-25,723.50,728.42,710.00,722.50,1902300,722.50
2016-11-24,710.00,722.50,707.50,719.00,2617800,719.00
2016-11-23,708.50,708.50,679.00,701.00,3265100,701.00
2016-11-22,701.00,712.50,693.50,702.00,2693300,702.00
2016-11-21,684.00,691.00,673.50,681.50,2501100,681.50
2016-11-18,684.00,684.50,651.50,666.00,3295900,666.00
2016-11-17,676.00,687.50,673.50,687.50,2694900,687.50
2016-11-16,674.50,682.00,652.50,672.00,4221000,672.00
2016-11-15,685.00,706.545,650.00,671.00,5161800,671.00
2016-11-14,709.00,727.00,703.00,706.00,5971500,706.00
