Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,603.50,615.00,601.00,612.00,13712400,612.00
2017-02-09,600.00,606.00,596.50,600.00,5430200,600.00
2017-02-08,598.00,602.50,595.329,599.50,8237700,599.50
2017-02-07,589.50,598.75,588.50,598.00,7586700,598.00
2017-02-06,585.50,592.618,583.50,588.00,4967100,588.00
2017-02-03,584.50,586.50,583.00,583.50,6101600,583.50
2017-02-02,582.00,586.00,580.50,583.50,9892900,583.50
2017-02-01,587.00,588.50,580.00,582.50,8741900,582.50
2017-01-31,585.50,588.025,580.50,582.00,8852400,582.00
2017-01-30,590.00,594.00,583.50,585.00,7208400,585.00
2017-01-27,598.00,598.00,590.50,592.50,5386600,592.50
2017-01-26,600.50,602.572,591.00,596.00,6884600,596.00
2017-01-25,600.50,607.50,599.00,600.50,5755700,600.50
2017-01-24,601.00,604.326,595.61,598.00,7208100,598.00
2017-01-23,597.00,603.50,596.00,600.00,4338500,600.00
2017-01-20,602.00,605.50,599.82,600.50,7430400,600.50
2017-01-19,604.00,610.00,600.00,602.00,6616300,602.00
2017-01-18,604.00,605.00,597.00,605.00,8412000,605.00
2017-01-17,608.50,614.50,603.50,605.00,6647100,605.00
2017-01-16,608.00,616.125,603.00,611.50,6148200,611.50
2017-01-13,617.50,618.00,607.50,611.50,15243900,611.50
2017-01-12,611.00,619.00,606.00,617.50,12131700,617.50
2017-01-11,611.50,614.50,608.00,610.00,9831900,610.00
2017-01-10,599.00,613.50,596.00,610.00,10094400,610.00
2017-01-09,607.00,609.50,593.00,597.50,9031300,597.50
2017-01-06,586.50,606.00,586.125,605.00,9658200,605.00
2017-01-05,584.00,589.50,582.50,587.50,5603100,587.50
2017-01-04,591.00,592.50,582.00,585.00,8970900,585.00
2017-01-03,591.50,597.50,587.50,591.00,6012600,591.00
2017-01-02,591.50,591.50,591.50,591.50,000,591.50
2016-12-30,593.50,595.00,586.00,591.50,3063500,591.50
2016-12-29,596.50,598.50,589.50,595.00,3859500,595.00
2016-12-28,598.00,599.50,595.50,599.00,4286800,599.00
2016-12-27,593.50,593.50,593.50,593.50,000,593.50
2016-12-26,593.50,593.50,593.50,593.50,000,593.50
2016-12-23,593.00,598.161,590.00,593.50,2077200,593.50
2016-12-22,593.50,594.045,587.50,593.00,7731600,593.00
2016-12-21,596.50,602.635,593.50,596.00,7494700,596.00
2016-12-20,595.00,598.50,591.00,598.50,7844800,598.50
2016-12-19,594.50,596.993,589.00,596.50,7002000,596.50
2016-12-16,589.50,598.00,589.50,592.50,10073600,592.50
2016-12-15,581.50,592.00,580.50,591.00,10400700,591.00
2016-12-14,594.00,595.00,587.50,589.00,9569100,589.00
2016-12-13,587.00,599.00,581.71,597.50,11389300,597.50
2016-12-12,601.50,604.00,583.798,586.00,17160300,586.00
2016-12-09,602.50,606.50,595.50,600.50,6880100,600.50
2016-12-08,607.50,611.00,598.25,604.00,8352100,604.00
2016-12-07,603.50,609.00,598.25,604.50,11027800,604.50
2016-12-06,601.00,602.00,591.50,598.50,8023200,598.50
2016-12-05,594.50,602.507,592.00,600.00,9717600,600.00
2016-12-02,595.00,597.00,585.50,594.00,7175100,594.00
2016-12-01,599.00,599.50,590.00,598.00,8825100,598.00
2016-11-30,605.50,608.00,599.00,600.50,11490300,600.50
2016-11-29,603.00,603.50,594.50,601.50,7996300,601.50
2016-11-28,602.50,605.50,597.50,603.00,6085300,603.00
2016-11-25,608.50,610.00,601.50,604.00,5845200,604.00
2016-11-24,605.00,609.00,603.00,608.50,5194900,608.50
2016-11-23,598.50,604.50,597.50,603.00,7915500,603.00
2016-11-22,603.50,604.00,593.50,596.00,6148600,596.00
2016-11-21,593.50,599.00,588.00,597.50,6025100,597.50
2016-11-18,596.00,597.00,587.50,593.50,11013300,593.50
2016-11-17,602.00,603.00,594.00,597.00,10899700,597.00
2016-11-16,600.00,603.00,595.50,599.50,9256600,599.50
2016-11-15,599.00,607.00,593.50,600.00,12115300,600.00
2016-11-14,596.00,605.00,591.00,593.50,10522200,593.50
