Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,1820.00,1833.00,1816.00,1826.00,519600,1826.00
2017-02-09,1827.00,1836.00,1816.78,1820.00,438500,1820.00
2017-02-08,1790.00,1834.00,1784.00,1823.00,527500,1823.00
2017-02-07,1794.00,1804.00,1786.00,1799.00,564300,1799.00
2017-02-06,1786.00,1798.00,1786.00,1788.00,406100,1788.00
2017-02-03,1799.00,1807.00,1782.00,1795.00,652100,1795.00
2017-02-02,1791.00,1807.00,1785.00,1790.00,768200,1790.00
2017-02-01,1815.00,1830.00,1790.00,1800.00,452300,1800.00
2017-01-31,1810.00,1830.00,1810.00,1812.00,440800,1812.00
2017-01-30,1807.00,1813.00,1794.00,1812.00,567200,1812.00
2017-01-27,1816.00,1823.00,1806.00,1819.00,305400,1819.00
2017-01-26,1809.00,1821.00,1807.00,1815.00,324000,1815.00
2017-01-25,1813.00,1825.00,1800.00,1810.00,546300,1810.00
2017-01-24,1816.00,1821.00,1802.00,1816.00,605500,1816.00
2017-01-23,1810.00,1823.00,1809.00,1810.00,399300,1810.00
2017-01-20,1813.00,1823.00,1806.00,1821.00,421700,1821.00
2017-01-19,1822.00,1830.00,1805.00,1813.00,570500,1813.00
2017-01-18,1788.00,1812.00,1783.00,1806.00,467500,1806.00
2017-01-17,1800.00,1810.00,1778.00,1780.00,416800,1780.00
2017-01-16,1794.00,1808.00,1791.00,1798.00,274300,1798.00
2017-01-13,1796.00,1803.00,1782.70,1802.00,453400,1802.00
2017-01-12,1775.00,1798.00,1772.00,1794.00,444000,1794.00
2017-01-11,1781.00,1817.00,1775.00,1779.00,520300,1779.00
2017-01-10,1806.00,1809.00,1768.00,1783.00,588900,1783.00
2017-01-09,1787.00,1810.00,1785.80,1810.00,319200,1810.00
2017-01-06,1766.00,1790.00,1766.00,1789.00,420200,1789.00
2017-01-05,1775.00,1789.00,1762.00,1769.00,312400,1769.00
2017-01-04,1777.00,1785.00,1753.00,1782.00,532500,1782.00
2017-01-03,1771.00,1787.00,1755.00,1773.00,487000,1773.00
2017-01-02,1770.00,1770.00,1770.00,1770.00,000,1770.00
2016-12-30,1736.00,1770.00,1729.00,1770.00,336100,1770.00
2016-12-29,1709.00,1739.00,1705.00,1732.00,244300,1732.00
2016-12-28,1720.00,1724.50,1708.00,1714.00,334500,1714.00
2016-12-27,1716.00,1716.00,1716.00,1716.00,000,1716.00
2016-12-26,1716.00,1716.00,1716.00,1716.00,000,1716.00
2016-12-23,1711.00,1740.00,1706.00,1716.00,147500,1716.00
2016-12-22,1673.00,1707.00,1670.00,1705.00,367400,1705.00
2016-12-21,1652.00,1697.00,1652.00,1684.00,443400,1684.00
2016-12-20,1669.00,1669.00,1648.00,1663.00,250000,1663.00
2016-12-19,1657.00,1672.00,1648.00,1668.00,228900,1668.00
2016-12-16,1671.00,1671.00,1647.00,1659.00,497400,1659.00
2016-12-15,1610.00,1667.00,1602.00,1667.00,727200,1667.00
2016-12-14,1629.00,1632.00,1614.00,1615.00,622200,1615.00
2016-12-13,1631.00,1660.00,1608.00,1637.00,725900,1637.00
2016-12-12,1660.00,1669.00,1654.00,1662.00,446500,1662.00
2016-12-09,1665.00,1669.00,1656.00,1665.00,261200,1665.00
2016-12-08,1639.00,1665.00,1639.00,1664.00,400200,1664.00
2016-12-07,1631.00,1651.00,1621.00,1639.00,469900,1639.00
2016-12-06,1633.00,1643.00,1622.00,1626.00,361700,1626.00
2016-12-05,1630.00,1642.00,1615.00,1626.00,506500,1626.00
2016-12-02,1632.00,1636.00,1609.00,1632.00,467700,1632.00
2016-12-01,1692.00,1702.88,1623.00,1633.00,499400,1633.00
2016-11-30,1683.00,1705.00,1679.00,1700.00,721000,1700.00
2016-11-29,1685.00,1685.00,1665.00,1675.00,296800,1675.00
2016-11-28,1689.00,1694.00,1675.00,1682.00,281000,1682.00
2016-11-25,1671.00,1692.00,1671.00,1684.00,200600,1684.00
2016-11-24,1685.00,1689.00,1667.00,1677.00,211000,1677.00
2016-11-23,1668.00,1691.00,1668.00,1679.00,321500,1679.00
2016-11-22,1698.00,1706.00,1673.00,1673.00,287100,1673.00
2016-11-21,1673.00,1691.00,1667.00,1687.00,551000,1687.00
2016-11-18,1655.00,1685.00,1655.00,1674.00,430100,1674.00
2016-11-17,1663.00,1678.00,1654.00,1661.00,334200,1661.00
2016-11-16,1682.00,1688.00,1647.00,1662.00,508600,1662.00
2016-11-15,1654.00,1687.00,1654.00,1679.00,527800,1679.00
2016-11-14,1648.00,1668.00,1637.00,1651.00,684500,1651.00
