Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,4330.00,4356.00,4265.59,4336.00,2538600,4301.00
2017-02-09,4307.00,4315.61,4260.00,4298.00,549100,4263.307
2017-02-08,4283.00,4362.53,4283.00,4308.00,650600,4273.226
2017-02-07,4325.00,4365.00,4302.00,4302.00,643100,4267.274
2017-02-06,4279.00,4318.00,4261.00,4311.00,328000,4276.202
2017-02-03,4281.00,4310.65,4277.00,4288.00,693100,4253.387
2017-02-02,4238.00,4280.00,4214.00,4268.00,515200,4233.549
2017-02-01,4275.00,4284.00,4208.00,4243.00,658300,4208.751
2017-01-31,4318.00,4335.00,4231.00,4238.00,931200,4203.791
2017-01-30,4317.00,4338.00,4302.00,4324.00,1490000,4289.097
2017-01-27,4375.00,4407.91,4312.00,4340.00,623300,4304.968
2017-01-26,4248.00,4411.00,4195.00,4340.00,1178900,4304.968
2017-01-25,4174.00,4239.00,4147.06,4233.00,655600,4198.831
2017-01-24,4131.00,4191.00,4129.00,4175.00,592900,4141.30
2017-01-23,4139.00,4155.00,4102.00,4105.00,376700,4071.865
2017-01-20,4181.00,4217.00,4147.00,4168.00,532800,4134.356
2017-01-19,4177.00,4225.00,4169.00,4180.00,663800,4146.259
2017-01-18,4131.00,4196.00,4122.00,4172.00,798000,4138.324
2017-01-17,4247.00,4265.60,4113.00,4113.00,717400,4079.80
2017-01-16,4250.00,4309.00,4222.00,4262.00,327000,4227.597
2017-01-13,4230.00,4259.00,4220.00,4242.00,512300,4207.759
2017-01-12,4291.00,4296.00,4206.00,4215.00,528900,4180.977
2017-01-11,4283.00,4351.00,4273.00,4314.00,610600,4279.178
2017-01-10,4244.00,4335.00,4211.00,4298.00,679100,4263.307
2017-01-09,4191.00,4275.00,4191.00,4243.00,515000,4208.751
2017-01-06,4163.00,4195.00,4139.00,4189.00,415800,4155.187
2017-01-05,4125.00,4185.00,4125.00,4179.00,377100,4145.267
2017-01-04,4101.00,4142.00,4094.00,4131.00,719000,4097.655
2017-01-03,4108.00,4160.00,4090.00,4100.00,560800,4066.905
2017-01-02,4125.00,4125.00,4125.00,4125.00,000,4091.703
2016-12-30,4120.00,4125.00,4082.00,4125.00,281700,4091.703
2016-12-29,4114.00,4143.00,4101.00,4115.00,322800,4081.784
2016-12-28,4125.00,4155.28,4103.00,4145.00,454600,4111.542
2016-12-27,4147.00,4147.00,4147.00,4147.00,000,4113.526
2016-12-26,4147.00,4147.00,4147.00,4147.00,000,4113.526
2016-12-23,4139.00,4164.00,4126.00,4147.00,143700,4113.526
2016-12-22,4125.00,4165.00,4101.42,4132.00,827300,4098.647
2016-12-21,4129.00,4148.00,3944.00,4137.00,1540800,4103.606
2016-12-20,4025.00,4177.00,3907.00,4145.00,1602100,4111.542
2016-12-19,3870.00,4061.00,3870.00,4023.00,1139100,3990.527
2016-12-16,4169.00,4175.00,4063.00,4068.00,1349600,4035.163
2016-12-15,4076.00,4161.00,4073.00,4130.00,688200,4096.663
2016-12-14,4024.00,4068.00,4017.65,4045.00,477000,4012.349
2016-12-13,4009.00,4033.00,3974.00,4011.00,456200,3978.623
2016-12-12,4114.00,4115.00,4002.00,4010.00,636600,3977.631
2016-12-09,4104.00,4138.00,4074.00,4122.00,426700,4088.727
2016-12-08,4090.00,4136.00,4054.00,4125.00,687200,4091.703
2016-12-07,4057.00,4088.00,3998.00,4078.00,880000,4045.083
2016-12-06,3998.00,4047.00,3966.00,4026.00,585800,3993.502
2016-12-05,3890.00,4047.00,3887.91,4039.00,645100,4006.397
2016-12-02,3893.00,3911.00,3863.00,3907.00,807300,3875.463
2016-12-01,3949.00,3987.00,3910.00,3925.00,882800,3893.318
2016-11-30,4147.00,4177.00,4034.00,4044.00,946400,4011.357
2016-11-29,4107.00,4129.00,4062.00,4129.00,664800,4095.671
2016-11-28,4102.00,4109.00,4049.00,4100.00,506100,4066.905
2016-11-25,4120.00,4130.09,4083.00,4112.00,321600,4078.808
2016-11-24,4152.00,4152.00,4057.00,4098.00,319600,4064.921
2016-11-23,4106.00,4144.00,4087.00,4136.00,449900,4075.111
2016-11-22,4032.00,4090.00,4032.00,4089.00,478100,4028.803
2016-11-21,4084.00,4091.12,4020.00,4030.00,677200,3970.672
2016-11-18,4031.00,4096.00,4027.01,4084.00,603800,4023.877
2016-11-17,3974.00,4070.00,3974.00,4025.00,853000,3965.745
2016-11-16,3993.00,4010.00,3953.00,3956.00,603600,3897.761
2016-11-15,3975.00,4035.00,3966.00,3997.00,614500,3938.157
2016-11-14,3940.00,3971.00,3884.00,3939.00,897300,3881.011
