Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,342.30,344.60,339.70,340.90,5869900,340.90
2017-02-09,344.90,346.90,339.40,341.80,4487800,341.80
2017-02-08,343.10,347.70,342.20,344.50,5290800,344.50
2017-02-07,343.50,348.10,342.20,343.80,6103800,343.80
2017-02-06,345.70,347.70,342.80,343.90,5310800,343.90
2017-02-03,346.40,349.00,344.90,347.10,5129800,347.10
2017-02-02,346.00,348.30,343.10,346.30,4132600,346.30
2017-02-01,345.00,349.80,345.00,346.60,4595900,346.60
2017-01-31,345.00,350.60,343.00,343.40,13341500,343.40
2017-01-30,347.00,348.312,343.80,345.00,11267600,345.00
2017-01-27,352.00,352.00,347.00,348.50,3794500,348.50
2017-01-26,351.10,353.20,347.10,350.20,3949300,350.20
2017-01-25,347.60,353.225,347.25,351.30,5193100,351.30
2017-01-24,342.70,346.70,342.25,345.40,7159700,345.40
2017-01-23,340.00,341.50,337.20,340.90,4813200,340.90
2017-01-20,338.10,343.40,335.499,343.00,6422800,343.00
2017-01-19,338.60,342.60,338.60,342.00,4505800,342.00
2017-01-18,339.30,340.50,336.40,339.50,4588300,339.50
2017-01-17,339.90,342.30,338.469,338.50,7380600,338.50
2017-01-16,340.80,346.00,340.50,341.50,4066100,341.50
2017-01-13,340.50,343.80,338.40,341.30,10072600,341.30
2017-01-12,334.40,341.90,333.60,338.90,5235300,338.90
2017-01-11,332.80,336.10,331.65,334.90,5700500,334.90
2017-01-10,337.00,337.892,331.70,334.80,6894100,334.80
2017-01-09,333.30,334.60,329.60,330.50,3679400,330.50
2017-01-06,331.40,334.60,331.30,331.40,3454700,331.40
2017-01-05,330.50,333.50,330.50,332.40,3293400,332.40
2017-01-04,334.70,334.70,328.10,331.90,3550200,331.90
2017-01-03,331.80,336.40,330.70,333.10,7218100,333.10
2017-01-02,331.70,331.70,331.70,331.70,000,331.70
2016-12-30,327.50,331.70,326.536,331.70,1566800,331.70
2016-12-29,328.60,329.10,327.372,329.10,1870800,329.10
2016-12-28,331.40,331.40,328.30,330.10,3795400,330.10
2016-12-27,330.50,330.50,330.50,330.50,000,330.50
2016-12-26,330.50,330.50,330.50,330.50,000,330.50
2016-12-23,330.40,330.80,327.60,330.50,1376400,330.50
2016-12-22,329.00,331.30,328.40,330.80,2062800,330.80
2016-12-21,329.10,332.00,328.50,329.50,6337300,329.50
2016-12-20,329.80,330.50,325.80,328.80,3378600,328.80
2016-12-19,329.60,330.90,327.20,329.00,2654100,329.00
2016-12-16,332.00,335.90,328.30,329.80,14712500,329.80
2016-12-15,320.00,331.00,318.476,330.90,13622500,330.90
2016-12-14,318.20,322.70,318.20,319.40,14689900,319.40
2016-12-13,312.90,319.80,312.90,319.50,5433000,319.50
2016-12-12,315.70,316.90,311.30,312.10,4843000,312.10
2016-12-09,316.40,317.60,314.10,316.20,6705300,316.20
2016-12-08,318.80,321.00,315.00,316.80,4651600,316.80
2016-12-07,311.10,318.40,310.00,318.40,8531500,318.40
2016-12-06,307.00,308.70,304.20,304.70,4445800,304.70
2016-12-05,301.20,308.40,301.20,307.40,3845900,307.40
2016-12-02,304.00,305.10,301.70,303.10,3486300,303.10
2016-12-01,308.40,308.40,302.10,306.20,5150300,306.20
2016-11-30,306.80,310.30,306.80,309.90,7875500,309.90
2016-11-29,308.50,308.50,304.20,308.40,8217500,308.40
2016-11-28,309.00,309.00,305.50,308.60,3843700,308.60
2016-11-25,310.80,311.00,308.50,308.90,3692700,308.90
2016-11-24,310.90,312.80,309.00,310.50,2915800,310.50
2016-11-23,309.70,313.00,308.80,311.60,4540400,311.60
2016-11-22,310.00,312.00,307.358,309.60,6260000,309.60
2016-11-21,305.70,309.20,304.20,309.10,6791500,309.10
2016-11-18,306.80,309.30,303.40,304.30,5489800,304.30
2016-11-17,305.80,308.80,304.50,307.20,5507200,307.20
2016-11-16,308.40,309.70,302.70,304.80,6399700,304.80
2016-11-15,304.60,309.00,304.60,307.10,4775400,307.10
2016-11-14,302.00,308.20,301.30,304.40,7687900,304.40
