Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,1984.00,2011.00,1974.00,1976.00,1016900,1976.00
2017-02-09,2020.00,2026.00,1976.00,1988.00,1281300,1988.00
2017-02-08,1966.00,2036.00,1962.00,2016.00,1773900,2016.00
2017-02-07,1939.00,2002.00,1934.00,1957.00,1756200,1957.00
2017-02-06,1962.00,1972.48,1932.00,1938.00,840300,1938.00
2017-02-03,1958.00,1986.80,1958.00,1971.00,967900,1971.00
2017-02-02,1955.00,1972.00,1942.00,1965.00,1053300,1965.00
2017-02-01,1940.00,1952.00,1923.00,1951.00,985300,1951.00
2017-01-31,1923.00,1935.25,1915.00,1929.00,1289400,1929.00
2017-01-30,1899.00,1924.00,1898.00,1920.00,1191400,1920.00
2017-01-27,1892.00,1917.00,1884.00,1917.00,1874800,1917.00
2017-01-26,1897.00,1910.00,1884.00,1886.00,822900,1886.00
2017-01-25,1927.00,1937.00,1897.00,1897.00,989100,1897.00
2017-01-24,1944.00,1949.00,1909.00,1921.00,1159100,1921.00
2017-01-23,1921.00,1961.00,1919.00,1944.00,1796200,1944.00
2017-01-20,1948.00,1969.00,1920.50,1932.00,924100,1932.00
2017-01-19,1969.00,1991.00,1941.00,1955.00,965900,1955.00
2017-01-18,1994.00,1999.00,1946.00,1974.00,1233900,1974.00
2017-01-17,1958.00,2014.00,1935.36,1995.00,1373100,1995.00
2017-01-16,1990.00,1990.00,1961.00,1968.00,974800,1968.00
2017-01-13,1983.00,2015.61,1962.45,1997.00,1148400,1997.00
2017-01-12,1964.00,1980.00,1951.00,1970.00,1069300,1970.00
2017-01-11,1992.00,2010.00,1978.00,1981.00,1197200,1981.00
2017-01-10,1938.00,1994.00,1932.00,1989.00,1584400,1989.00
2017-01-09,1935.00,1955.00,1914.00,1939.00,1188900,1939.00
2017-01-06,1953.00,1971.00,1930.02,1934.00,1872900,1934.00
2017-01-05,1835.00,1943.00,1834.00,1940.00,3624500,1940.00
2017-01-04,1754.00,1823.00,1754.00,1810.00,1998500,1810.00
2017-01-03,1777.00,1787.00,1744.58,1760.00,1143300,1760.00
2017-01-02,1776.00,1776.00,1776.00,1776.00,000,1776.00
2016-12-30,1741.00,1781.85,1739.00,1776.00,661000,1776.00
2016-12-29,1729.00,1755.00,1728.00,1746.00,802100,1746.00
2016-12-28,1764.00,1764.00,1735.00,1744.00,776400,1744.00
2016-12-27,1765.00,1765.00,1765.00,1765.00,000,1765.00
2016-12-26,1765.00,1765.00,1765.00,1765.00,000,1765.00
2016-12-23,1764.00,1774.00,1753.00,1765.00,249000,1765.00
2016-12-22,1747.00,1768.50,1733.00,1763.00,936000,1763.00
2016-12-21,1732.00,1750.00,1722.00,1747.00,868000,1747.00
2016-12-20,1724.00,1752.28,1718.00,1735.00,831600,1735.00
2016-12-19,1712.00,1732.21,1706.00,1720.00,892400,1720.00
2016-12-16,1721.00,1728.00,1704.00,1706.00,1308900,1706.00
2016-12-15,1691.00,1730.16,1677.00,1727.00,1768500,1727.00
2016-12-14,1691.00,1697.00,1646.00,1688.00,2149700,1688.00
2016-12-13,1677.00,1703.00,1666.00,1699.00,1155700,1699.00
2016-12-12,1712.00,1714.00,1666.00,1667.00,1310300,1667.00
2016-12-09,1738.00,1756.00,1705.00,1716.00,948700,1716.00
2016-12-08,1730.00,1753.00,1726.00,1737.00,1373200,1737.00
2016-12-07,1723.00,1731.11,1702.00,1729.00,1185800,1729.00
2016-12-06,1680.00,1714.00,1668.00,1710.00,963500,1710.00
2016-12-05,1691.00,1728.00,1690.48,1704.00,756200,1704.00
2016-12-02,1690.00,1726.00,1681.00,1696.00,1656400,1696.00
2016-12-01,1690.00,1709.00,1677.00,1704.00,1325100,1704.00
2016-11-30,1728.00,1729.00,1697.00,1700.00,1762400,1700.00
2016-11-29,1693.00,1731.00,1686.77,1724.00,1120900,1724.00
2016-11-28,1705.00,1711.00,1683.00,1691.00,1274900,1691.00
2016-11-25,1737.00,1738.00,1698.00,1705.00,702300,1705.00
2016-11-24,1758.00,1761.00,1728.00,1729.00,558000,1729.00
2016-11-23,1775.00,1808.00,1714.00,1746.00,1981800,1746.00
2016-11-22,1766.00,1800.00,1758.00,1778.00,883400,1778.00
2016-11-21,1771.00,1786.45,1733.46,1748.00,722600,1748.00
2016-11-18,1769.00,1794.00,1761.00,1774.00,1452700,1774.00
2016-11-17,1714.00,1763.00,1702.00,1763.00,1964600,1763.00
2016-11-16,1734.00,1749.45,1697.00,1710.00,1660400,1710.00
2016-11-15,1751.00,1770.00,1720.45,1738.00,1027200,1738.00
2016-11-14,1705.00,1745.00,1700.00,1739.00,2607700,1739.00
