Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,717.00,739.50,713.00,732.50,7755900,732.50
2017-02-09,720.00,723.00,708.50,718.00,4616200,718.00
2017-02-08,700.00,730.00,700.00,720.00,9155400,720.00
2017-02-07,680.00,705.50,676.50,700.50,7261400,700.50
2017-02-06,671.50,681.50,664.318,680.50,6370700,680.50
2017-02-03,677.50,677.50,665.50,671.00,3512200,671.00
2017-02-02,666.50,680.50,665.50,674.00,4845600,674.00
2017-02-01,682.00,689.00,667.50,668.00,5880500,668.00
2017-01-31,662.00,675.00,660.00,667.50,7561000,667.50
2017-01-30,684.00,686.10,658.50,660.00,5435800,660.00
2017-01-27,693.50,695.00,679.00,686.00,5590500,686.00
2017-01-26,689.00,692.50,677.00,692.00,4918200,692.00
2017-01-25,685.00,693.00,678.50,686.00,3832100,686.00
2017-01-24,686.50,690.00,668.00,680.50,8551700,680.50
2017-01-23,685.50,692.61,678.50,691.50,4025200,691.50
2017-01-20,703.00,705.00,686.00,688.50,5131600,688.50
2017-01-19,693.50,707.00,691.50,702.50,5118400,702.50
2017-01-18,696.50,701.00,691.50,693.50,6152800,693.50
2017-01-17,690.00,719.25,688.50,694.50,14840900,694.50
2017-01-16,657.50,666.21,653.50,665.00,3247600,665.00
2017-01-13,679.00,680.00,657.50,661.50,5204800,661.50
2017-01-12,669.00,677.135,664.863,677.00,5779200,677.00
2017-01-11,667.00,671.50,661.00,670.00,4344300,670.00
2017-01-10,660.00,670.50,657.48,667.50,5522700,667.50
2017-01-09,653.00,661.56,644.00,661.00,5198800,661.00
2017-01-06,644.00,651.00,635.50,650.50,6834700,650.50
2017-01-05,662.00,663.50,635.00,639.50,11396900,639.50
2017-01-04,673.50,674.50,658.50,667.50,3633900,667.50
2017-01-03,674.00,683.00,667.00,670.00,3761700,670.00
2017-01-02,668.00,668.00,668.00,668.00,000,668.00
2016-12-30,676.00,678.50,668.00,668.00,3357700,668.00
2016-12-29,682.00,684.50,671.89,678.00,1585900,678.00
2016-12-28,666.00,687.50,664.50,686.50,3377200,686.50
2016-12-27,680.50,680.50,680.50,680.50,000,680.50
2016-12-26,680.50,680.50,680.50,680.50,000,680.50
2016-12-23,684.50,686.50,680.50,680.50,600700,680.50
2016-12-22,682.50,684.00,676.50,682.50,2428700,682.50
2016-12-21,675.00,691.00,673.00,685.00,6651700,685.00
2016-12-20,674.00,677.50,667.00,676.00,4119700,676.00
2016-12-19,676.00,677.00,667.50,673.00,2766800,673.00
2016-12-16,674.50,684.00,670.50,675.00,4887100,675.00
2016-12-15,672.00,677.00,659.00,671.50,4162300,671.50
2016-12-14,678.50,690.50,670.00,670.00,6506600,670.00
2016-12-13,651.50,681.111,646.00,678.00,12399400,678.00
2016-12-12,668.50,674.00,646.00,651.00,4284900,651.00
2016-12-09,659.00,673.00,656.00,668.00,3469100,668.00
2016-12-08,672.00,677.127,656.50,658.50,8229600,658.50
2016-12-07,668.00,683.00,664.50,672.50,4957900,672.50
2016-12-06,663.00,664.00,650.39,661.50,3211100,661.50
2016-12-05,660.50,677.00,659.401,665.50,3177900,665.50
2016-12-02,675.50,676.00,652.50,661.00,4397200,661.00
2016-12-01,672.00,697.00,672.00,682.00,5304900,682.00
2016-11-30,675.00,684.00,672.50,676.50,9218200,676.50
2016-11-29,674.00,679.50,667.00,673.00,4266800,673.00
2016-11-28,665.00,674.50,658.50,672.50,3336100,672.50
2016-11-25,671.00,673.50,664.00,666.00,2103900,666.00
2016-11-24,670.00,680.59,666.50,672.50,3365400,672.50
2016-11-23,662.00,675.00,653.70,670.50,7934000,670.50
2016-11-22,663.50,663.50,651.95,660.00,7062800,660.00
2016-11-21,656.00,662.00,643.50,657.00,14325400,657.00
2016-11-18,705.00,705.00,652.00,657.50,12444600,657.50
2016-11-17,743.00,773.694,699.00,699.00,8553400,699.00
2016-11-16,754.00,779.50,719.50,738.50,10065900,738.50
2016-11-15,740.00,754.50,738.50,754.50,9618800,754.50
2016-11-14,747.50,766.00,741.50,746.00,10097100,746.00
