Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,3041.00,3061.00,3026.00,3041.00,400800,3041.00
2017-02-09,3010.00,3038.00,3009.00,3028.00,305100,3028.00
2017-02-08,2981.00,3009.00,2980.00,2992.00,606200,2992.00
2017-02-07,2943.00,2990.00,2931.00,2986.00,395000,2986.00
2017-02-06,2954.00,2965.00,2936.00,2937.00,245000,2937.00
2017-02-03,2935.00,2964.30,2914.80,2958.00,309700,2958.00
2017-02-02,2937.00,2940.00,2885.00,2920.00,518700,2920.00
2017-02-01,2957.00,2985.00,2931.00,2942.00,302300,2942.00
2017-01-31,2909.00,2956.00,2903.00,2934.00,461600,2934.00
2017-01-30,2899.00,2912.00,2887.00,2901.00,457100,2901.00
2017-01-27,2939.00,2973.42,2911.00,2923.00,317600,2923.00
2017-01-26,2963.00,2989.00,2937.00,2947.00,359600,2947.00
2017-01-25,2995.00,3026.00,2991.00,3006.00,221800,3006.00
2017-01-24,2995.00,3020.00,2979.00,2989.00,290600,2989.00
2017-01-23,2971.00,2989.00,2943.00,2981.00,292300,2981.00
2017-01-20,2997.00,3017.00,2974.00,2987.00,407100,2987.00
2017-01-19,3013.00,3036.00,2978.00,2982.00,346200,2982.00
2017-01-18,3048.00,3073.00,3002.00,3020.00,210600,3020.00
2017-01-17,3033.00,3051.00,3025.00,3033.00,299900,3033.00
2017-01-16,3031.00,3045.00,3021.00,3035.00,140600,3035.00
2017-01-13,3017.00,3054.00,2996.75,3047.00,235800,3047.00
2017-01-12,3034.00,3034.00,2990.00,3008.00,286800,3008.00
2017-01-11,3035.00,3049.00,3022.00,3035.00,217600,3035.00
2017-01-10,3030.00,3046.00,2999.00,3037.00,545000,3037.00
2017-01-09,3014.00,3039.00,3002.00,3032.00,206700,3032.00
2017-01-06,3008.00,3024.00,2994.00,3019.00,426300,3019.00
2017-01-05,3015.00,3069.00,3015.00,3021.00,309200,3021.00
2017-01-04,3041.00,3052.00,3010.00,3020.00,312500,3020.00
2017-01-03,3003.00,3051.58,2994.00,3041.00,222100,3041.00
2017-01-02,2998.00,2998.00,2998.00,2998.00,000,2998.00
2016-12-30,2976.00,3001.00,2960.00,2998.00,126400,2998.00
2016-12-29,2967.00,2992.00,2957.00,2981.00,139700,2981.00
2016-12-28,2993.00,2993.00,2939.00,2983.00,137200,2983.00
2016-12-27,2985.00,2985.00,2985.00,2985.00,000,2985.00
2016-12-26,2985.00,2985.00,2985.00,2985.00,000,2985.00
2016-12-23,2966.00,2990.00,2961.00,2985.00,70300,2985.00
2016-12-22,2950.00,2971.00,2950.00,2968.00,152200,2968.00
2016-12-21,2976.00,3004.00,2954.00,2966.00,270900,2966.00
2016-12-20,2971.00,2995.00,2960.00,2992.00,267800,2992.00
2016-12-19,2997.00,2997.00,2950.00,2965.00,216800,2965.00
2016-12-16,2984.00,3001.00,2974.00,2985.00,463900,2985.00
2016-12-15,2942.00,2979.00,2926.00,2977.00,411500,2977.00
2016-12-14,2921.00,2945.00,2902.00,2936.00,251600,2936.00
2016-12-13,2885.00,2941.00,2877.00,2938.00,267600,2938.00
2016-12-12,2928.00,2946.00,2882.00,2890.00,366200,2890.00
2016-12-09,2931.00,2944.00,2891.00,2936.00,306700,2936.00
2016-12-08,2893.00,2963.00,2890.00,2923.00,315800,2923.00
2016-12-07,2786.00,2888.00,2786.00,2888.00,496800,2888.00
2016-12-06,2782.00,2805.00,2744.00,2800.00,340200,2800.00
2016-12-05,2787.00,2809.00,2761.00,2791.00,183100,2791.00
2016-12-02,2759.00,2795.00,2712.42,2789.00,184400,2789.00
2016-12-01,2754.00,2785.00,2740.00,2785.00,354900,2785.00
2016-11-30,2801.00,2809.00,2753.00,2765.00,438300,2765.00
2016-11-29,2819.00,2819.00,2767.00,2788.00,357800,2788.00
2016-11-28,2868.00,2868.00,2802.00,2819.00,353100,2819.00
2016-11-25,2859.00,2894.00,2841.00,2869.00,247300,2869.00
2016-11-24,2869.00,2869.00,2821.89,2845.00,264200,2845.00
2016-11-23,2881.00,2884.00,2828.00,2850.00,236800,2850.00
2016-11-22,2833.00,2881.00,2828.00,2864.00,281100,2864.00
2016-11-21,2886.00,2886.00,2808.00,2818.00,304800,2818.00
2016-11-18,2869.00,2879.00,2829.00,2872.00,236000,2872.00
2016-11-17,2860.00,2872.00,2840.00,2869.00,372600,2869.00
2016-11-16,2908.00,2922.00,2864.00,2868.00,334900,2868.00
2016-11-15,2890.00,2915.00,2871.00,2906.00,327200,2906.00
2016-11-14,2898.00,2917.00,2865.00,2884.00,268500,2884.00
