Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,4598.00,4659.00,4583.00,4595.00,2217600,4595.00
2017-02-09,4530.00,4573.00,4512.79,4572.00,1470100,4572.00
2017-02-08,4547.50,4563.00,4468.50,4534.50,2279000,4534.50
2017-02-07,4460.00,4582.00,4456.00,4561.00,2465600,4561.00
2017-02-06,4461.50,4488.50,4444.50,4448.50,1489200,4448.50
2017-02-03,4453.00,4498.50,4438.50,4461.50,2136900,4461.50
2017-02-02,4446.50,4499.00,4401.00,4452.50,2539800,4452.50
2017-02-01,4451.00,4498.00,4412.50,4466.50,3422700,4466.50
2017-01-31,4379.00,4420.00,4322.50,4379.50,3012100,4379.50
2017-01-30,4367.00,4431.00,4358.50,4363.50,1886400,4363.50
2017-01-27,4385.00,4437.50,4353.50,4389.00,2319500,4389.00
2017-01-26,4425.50,4508.50,4406.50,4438.00,2759100,4438.00
2017-01-25,4391.00,4442.50,4369.00,4405.00,2148900,4405.00
2017-01-24,4329.00,4394.50,4307.75,4366.00,1932500,4366.00
2017-01-23,4348.00,4363.00,4299.00,4320.00,2465800,4320.00
2017-01-20,4451.00,4473.50,4393.00,4393.00,2417000,4393.00
2017-01-19,4524.50,4533.00,4437.50,4483.50,2235900,4483.50
2017-01-18,4524.00,4561.00,4498.00,4503.50,2534900,4503.50
2017-01-17,4594.50,4673.72,4503.00,4515.00,2794700,4515.00
2017-01-16,4650.00,4702.00,4606.00,4619.00,1123100,4619.00
2017-01-13,4609.00,4664.00,4595.50,4661.50,2465700,4661.50
2017-01-12,4600.00,4737.56,4499.50,4555.00,4106700,4555.00
2017-01-11,4867.00,4899.00,4681.50,4681.50,2134100,4681.50
2017-01-10,4885.00,4911.50,4814.00,4834.50,1569600,4834.50
2017-01-09,4888.00,4898.00,4823.00,4887.50,1353500,4887.50
2017-01-06,4872.50,4907.00,4833.00,4856.50,1250600,4856.50
2017-01-05,4840.50,4937.00,4837.50,4899.00,1398800,4899.00
2017-01-04,4764.50,4837.50,4764.50,4831.00,1482700,4831.00
2017-01-03,4668.00,4808.50,4659.00,4760.00,2154000,4760.00
2017-01-02,4684.00,4684.00,4684.00,4684.00,000,4684.00
2016-12-30,4615.50,4684.00,4581.00,4684.00,853400,4684.00
2016-12-29,4587.00,4634.89,4574.50,4633.50,764500,4633.50
2016-12-28,4559.50,4668.50,4499.00,4628.00,1119300,4628.00
2016-12-27,4548.00,4548.00,4548.00,4548.00,000,4548.00
2016-12-26,4548.00,4548.00,4548.00,4548.00,000,4548.00
2016-12-23,4523.00,4548.00,4504.00,4548.00,333200,4548.00
2016-12-22,4530.00,4566.00,4483.00,4562.50,1100900,4562.50
2016-12-21,4532.00,4603.00,4529.50,4558.00,1568400,4558.00
2016-12-20,4540.00,4591.50,4533.50,4570.00,1435000,4570.00
2016-12-19,4610.00,4644.50,4552.00,4602.00,1272100,4602.00
2016-12-16,4526.00,4632.20,4510.50,4597.00,2924800,4597.00
2016-12-15,4430.00,4538.00,4416.50,4503.00,2260400,4503.00
2016-12-14,4401.00,4458.00,4381.00,4435.00,3188200,4435.00
2016-12-13,4300.00,4447.00,4300.00,4433.00,2209500,4433.00
2016-12-12,4398.50,4417.50,4308.50,4315.00,2410600,4315.00
2016-12-09,4345.00,4482.50,4344.50,4432.50,2552300,4432.50
2016-12-08,4350.50,4373.00,4297.50,4330.50,2958100,4330.50
2016-12-07,4531.50,4531.50,4324.50,4357.00,4988400,4357.00
2016-12-06,4607.50,4627.00,4543.50,4561.00,2082300,4561.00
2016-12-05,4589.00,4680.50,4585.00,4620.00,1962300,4620.00
2016-12-02,4540.00,4625.50,4510.00,4589.50,2775700,4589.50
2016-12-01,4650.50,4764.79,4531.50,4554.50,2397900,4554.50
2016-11-30,4709.00,4815.00,4658.14,4660.00,2606000,4660.00
2016-11-29,4671.00,4729.00,4641.00,4721.00,4727500,4721.00
2016-11-28,4671.00,4730.00,4644.50,4720.00,1648300,4720.00
2016-11-25,4660.00,4706.00,4660.00,4689.00,2134200,4689.00
2016-11-24,4627.00,4681.50,4614.44,4650.50,1633000,4650.50
2016-11-23,4622.00,4680.00,4560.00,4596.00,2525600,4596.00
2016-11-22,4695.00,4715.50,4592.00,4601.50,2353000,4601.50
2016-11-21,4798.00,4810.50,4704.00,4712.00,2139900,4712.00
2016-11-18,4836.00,4860.00,4799.00,4799.00,1686900,4799.00
2016-11-17,4810.00,4836.50,4773.00,4826.50,2311200,4826.50
2016-11-16,4836.50,4853.00,4764.50,4845.00,2827700,4845.00
2016-11-15,4948.00,4981.50,4828.00,4852.50,2704300,4852.50
2016-11-14,5031.00,5107.00,4932.50,4942.00,1784900,4942.00
