Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,998.00,1003.00,996.50,1000.00,8043700,1000.00
2017-02-09,999.50,1004.49,999.50,1000.00,4120900,1000.00
2017-02-08,1007.00,1011.00,995.00,1001.00,7557400,1001.00
2017-02-07,1007.00,1008.00,1006.00,1006.00,4680000,1006.00
2017-02-06,1006.00,1008.00,1005.00,1006.00,12469500,1006.00
2017-02-03,1005.00,1007.00,1004.00,1005.00,6223800,1005.00
2017-02-02,1004.00,1006.00,1004.00,1005.00,2801800,1005.00
2017-02-01,1003.00,1005.00,1002.00,1004.00,3820400,1004.00
2017-01-31,1002.00,1004.00,1000.00,1001.00,7377900,1001.00
2017-01-30,1005.00,1006.00,1002.00,1002.00,8055400,1002.00
2017-01-27,1007.00,1007.00,1004.00,1005.00,4908400,1005.00
2017-01-26,1002.00,1008.00,1002.00,1004.00,6477400,1004.00
2017-01-25,1004.00,1004.00,1001.00,1003.00,7661000,1003.00
2017-01-24,1005.00,1007.00,1000.82,1001.00,3335000,1001.00
2017-01-23,999.50,1002.00,997.50,1001.00,3599000,1001.00
2017-01-20,1000.00,1001.00,998.50,999.00,8640100,999.00
2017-01-19,997.00,1001.00,995.50,999.00,5165100,999.00
2017-01-18,998.00,998.00,994.50,997.00,3233100,997.00
2017-01-17,993.00,996.145,993.00,994.50,2881100,994.50
2017-01-16,991.50,996.00,991.186,994.00,2981900,994.00
2017-01-13,990.50,995.50,990.00,992.00,4650400,992.00
2017-01-12,989.00,990.50,988.01,990.50,7503500,990.50
2017-01-11,989.00,990.00,988.00,988.50,7000400,988.50
2017-01-10,990.00,990.00,988.00,988.00,7922600,988.00
2017-01-09,991.00,992.00,988.00,988.00,10669300,988.00
2017-01-06,990.00,992.00,988.00,991.00,7375600,991.00
2017-01-05,989.00,992.00,986.50,990.00,4305100,990.00
2017-01-04,993.50,993.50,985.50,987.50,5774000,987.50
2017-01-03,987.50,995.00,987.50,989.00,4884800,989.00
2017-01-02,991.00,991.00,991.00,991.00,000,991.00
2016-12-30,985.50,991.50,981.50,991.00,2336300,991.00
2016-12-29,982.50,989.00,980.50,989.00,1350500,989.00
2016-12-28,983.50,989.50,979.00,985.00,3470500,985.00
2016-12-27,982.50,982.50,982.50,982.50,000,982.50
2016-12-26,982.50,982.50,982.50,982.50,000,982.50
2016-12-23,987.50,987.50,981.00,982.50,5071000,982.50
2016-12-22,988.00,988.50,985.00,988.50,1998200,988.50
2016-12-21,983.00,990.50,983.00,986.50,3965700,986.50
2016-12-20,994.00,995.00,984.00,985.00,7579300,985.00
2016-12-19,990.00,995.00,988.50,995.00,4729200,995.00
2016-12-16,985.00,994.50,984.00,991.00,7717900,991.00
2016-12-15,984.50,991.00,962.00,988.00,16285900,988.00
2016-12-14,986.00,1002.66,979.497,983.50,7602000,983.50
2016-12-13,977.00,1030.29,799.52,988.00,20455800,988.00
2016-12-12,983.50,1038.07,972.00,972.00,38694700,972.00
2016-12-09,791.00,1050.00,790.00,1000.00,30551400,1000.00
2016-12-08,777.00,795.00,777.00,789.50,4704800,789.50
2016-12-07,770.50,774.00,761.50,773.00,3934900,773.00
2016-12-06,756.00,769.00,754.00,769.00,3678500,769.00
2016-12-05,763.50,772.50,752.25,754.50,4380200,754.50
2016-12-02,771.50,772.50,764.00,767.50,3701100,767.50
2016-12-01,772.50,779.00,766.561,773.50,5808500,773.50
2016-11-30,772.50,781.391,768.00,781.00,15630900,781.00
2016-11-29,765.00,781.00,763.50,774.50,3987400,774.50
2016-11-28,783.50,786.869,765.50,769.00,4993200,769.00
2016-11-25,759.00,789.00,754.00,787.00,5336200,787.00
2016-11-24,754.50,761.00,750.50,757.50,2828200,757.50
2016-11-23,765.50,766.50,754.50,755.00,3859400,755.00
2016-11-22,763.50,769.50,755.00,763.50,5456400,763.50
2016-11-21,766.50,775.00,747.50,750.50,7070200,750.50
2016-11-18,784.00,786.50,756.50,767.00,7481000,767.00
2016-11-17,790.50,792.50,783.00,784.50,4337900,784.50
2016-11-16,789.00,796.00,785.00,790.00,5583400,790.00
2016-11-15,772.00,789.00,770.00,789.00,5032000,789.00
2016-11-14,793.50,795.50,770.00,770.00,5718700,770.00
