Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,1164.00,1176.00,1157.00,1158.00,1779400,1095.00
2017-02-09,1183.00,1191.92,1162.00,1165.00,1882200,1101.619
2017-02-08,1173.00,1199.64,1170.00,1189.00,744100,1124.313
2017-02-07,1181.00,1189.00,1174.03,1178.00,910300,1113.912
2017-02-06,1178.00,1190.00,1177.00,1180.00,1035100,1115.803
2017-02-03,1171.00,1187.00,1167.00,1179.00,805500,1114.858
2017-02-02,1149.00,1174.00,1149.00,1162.00,1417900,1098.782
2017-02-01,1170.00,1177.00,1147.00,1153.00,1550300,1090.272
2017-01-31,1163.00,1178.00,1151.00,1162.00,1317400,1098.782
2017-01-30,1159.00,1165.00,1154.00,1158.00,641000,1095.00
2017-01-27,1162.00,1163.00,1152.13,1160.00,558000,1096.891
2017-01-26,1155.00,1159.11,1144.00,1152.00,903100,1089.326
2017-01-25,1144.00,1160.83,1140.00,1150.00,738000,1087.435
2017-01-24,1150.00,1153.00,1131.69,1137.00,1327200,1075.142
2017-01-23,1131.00,1160.82,1121.00,1145.00,888000,1082.707
2017-01-20,1136.00,1143.00,1125.48,1132.00,1265800,1070.415
2017-01-19,1125.00,1147.42,1115.00,1131.00,1064700,1069.469
2017-01-18,1115.00,1130.00,1103.00,1128.00,1238900,1066.632
2017-01-17,1125.00,1131.21,1099.00,1107.00,1280600,1046.775
2017-01-16,1147.00,1147.00,1118.89,1130.00,738500,1068.523
2017-01-13,1131.00,1146.00,1124.20,1141.00,827500,1078.925
2017-01-12,1137.00,1139.20,1114.00,1124.00,1062000,1062.85
2017-01-11,1168.00,1176.19,1123.00,1137.00,2156100,1075.142
2017-01-10,1178.00,1198.00,1178.00,1191.00,1018000,1126.205
2017-01-09,1168.00,1183.00,1161.41,1177.00,947100,1112.966
2017-01-06,1169.00,1181.00,1158.37,1165.00,948400,1101.619
2017-01-05,1163.00,1173.00,1158.00,1171.00,1115800,1107.293
2017-01-04,1159.00,1168.00,1156.51,1167.00,712700,1103.51
2017-01-03,1164.00,1183.32,1151.00,1159.00,1058400,1095.946
2017-01-02,1163.00,1163.00,1163.00,1163.00,000,1099.728
2016-12-30,1145.00,1163.00,1136.00,1163.00,741600,1099.728
2016-12-29,1136.00,1142.00,1130.00,1142.00,334300,1079.87
2016-12-28,1152.00,1152.00,1130.00,1136.00,651000,1074.197
2016-12-27,1148.00,1148.00,1148.00,1148.00,000,1085.544
2016-12-26,1148.00,1148.00,1148.00,1148.00,000,1085.544
2016-12-23,1141.00,1148.00,1136.00,1148.00,227300,1085.544
2016-12-22,1114.00,1139.00,1114.00,1139.00,700000,1077.034
2016-12-21,1131.00,1133.00,1107.00,1115.00,826800,1054.339
2016-12-20,1124.00,1134.64,1118.00,1129.00,1100200,1067.578
2016-12-19,1115.00,1125.00,1108.60,1123.00,877100,1061.904
2016-12-16,1107.00,1114.00,1091.00,1109.00,1292400,1048.666
2016-12-15,1081.00,1105.00,1072.00,1095.00,1279500,1035.427
2016-12-14,1075.00,1080.31,1058.00,1077.00,1458300,1018.407
2016-12-13,1050.00,1074.00,1049.00,1073.00,1344800,1014.624
2016-12-12,1078.00,1083.00,1051.00,1051.00,1747200,993.821
2016-12-09,1109.00,1114.00,1066.00,1077.00,1567700,1018.407
2016-12-08,1073.00,1111.44,1050.00,1099.00,1643000,1039.21
2016-12-07,1049.00,1064.00,1045.06,1064.00,1088700,1006.114
2016-12-06,1052.00,1057.00,1039.00,1042.00,853000,985.311
2016-12-05,1034.00,1056.19,1030.37,1049.00,732000,991.93
2016-12-02,1060.00,1064.00,1035.00,1035.00,815100,978.692
2016-12-01,1047.00,1058.77,1032.00,1058.00,1125400,1000.44
2016-11-30,1058.00,1071.00,1046.00,1054.00,3456400,996.658
2016-11-29,1041.00,1057.92,1032.00,1053.00,1402800,995.712
2016-11-28,1055.00,1055.00,1030.84,1039.00,653600,982.474
2016-11-25,1048.00,1057.00,1040.00,1055.00,418400,997.604
2016-11-24,1061.00,1061.00,1045.00,1057.00,491100,999.495
2016-11-23,1065.00,1077.00,1051.00,1053.00,1261800,995.712
2016-11-22,1048.00,1066.00,1043.00,1059.00,821400,1001.386
2016-11-21,1039.00,1049.45,1012.00,1042.00,861800,985.311
2016-11-18,1000.00,1038.00,996.50,1034.00,1880200,977.746
2016-11-17,1023.00,1023.00,995.50,1001.00,1298600,946.541
2016-11-16,1019.00,1037.11,1017.00,1030.00,1118300,973.964
2016-11-15,1021.00,1028.69,1014.86,1022.00,1083500,966.399
2016-11-14,1016.00,1024.00,1009.00,1014.00,442400,958.834
